# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,2.08806620e+09,1.07905828e+09,2.06994311e+08,4.65783169e+07,1.39683189e+07,4.93531900e+06,2.04631931e+06,7.59319279e+05,1.95553675e+05,4.23940258e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,4.15413238e+09,2.15085242e+09,4.13948390e+08,9.33323757e+07,2.79743740e+07,9.77037308e+06,4.01037326e+06,1.47462302e+06,3.76904249e+05,8.24677443e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,6.28695106e+09,3.26040715e+09,6.29743194e+08,1.42375189e+08,4.27571888e+07,1.49066878e+07,6.10993812e+06,2.24481292e+06,5.74498461e+05,1.26529497e+05
53219.00277778,1.54874404,1.26011693,-1.00129850,8.48652289e+09,4.40772279e+09,8.54378790e+08,1.93706772e+08,5.83167678e+07,2.03442647e+07,8.34501453e+06,3.06988921e+06,7.88336370e+05,1.74579298e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,1.06672960e+10,5.54747187e+09,1.07852796e+09,2.45199963e+08,7.39119602e+07,2.56914570e+07,1.05047069e+07,3.85445658e+06,9.90455525e+05,2.21227251e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,1.28292710e+10,6.67965475e+09,1.30219079e+09,2.96854778e+08,8.95427709e+07,3.09482662e+07,1.25890158e+07,4.59851527e+06,1.18085599e+06,2.66473371e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,1.49912457e+10,7.81183744e+09,1.52585357e+09,3.48509585e+08,1.05173579e+08,3.62050746e+07,1.46733245e+07,5.34257385e+06,1.37125642e+06,3.11719484e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,1.71532207e+10,8.94402031e+09,1.74951639e+09,4.00164401e+08,1.20804390e+08,4.14618838e+07,1.67576334e+07,6.08663254e+06,1.56165689e+06,3.56965604e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,1.93330327e+10,1.00925043e+10,1.97828448e+09,4.53432504e+08,1.36950494e+08,4.68514890e+07,1.88734888e+07,6.83486300e+06,1.75524774e+06,4.04628703e+05
53219.00694444,1.55451077,1.56830628,-0.98654759,2.15306818e+10,1.12572896e+10,2.21215786e+09,5.08313905e+08,1.53611895e+08,5.23738910e+07,2.10208911e+07,7.58726536e+06,1.95202902e+06,4.54708790e+05
53219.00763889,1.55319249,1.61750188,-0.98263373,2.37283313e+10,1.24220751e+10,2.44603127e+09,5.63195313e+08,1.70273299e+08,5.78962938e+07,2.31682936e+07,8.33966782e+06,2.14881032e+06,5.04788883e+05
53219.00833333,1.55128673,1.66608598,-0.97834803,2.59259804e+10,1.35868604e+10,2.67990465e+09,6.18076713e+08,1.86934700e+08,6.34186958e+07,2.53156958e+07,9.09207017e+06,2.34559160e+06,5.54868970e+05
53219.00902778,1.54881514,1.71406234,-0.97370527,2.81892675e+10,1.47895394e+10,2.92297954e+09,6.75427599e+08,2.04439581e+08,6.92565763e+07,2.75993258e+07,9.89782516e+06,2.55882895e+06,6.09541352e+05
53219.00972222,1.54579812,1.76143505,-0.96871939,3.04946797e+10,1.60185037e+10,3.17403981e+09,7.35135881e+08,2.22711865e+08,7.53473612e+07,2.99678608e+07,1.07314853e+07,2.78318444e+06,6.68129252e+05
53219.01041667,1.54225483,1.80820850,-0.96340360,3.27765802e+10,1.72358601e+10,3.42388405e+09,7.94732098e+08,2.40908079e+08,8.13755746e+07,3.22850740e+07,1.15396983e+07,3.00220205e+06,7.26040395e+05
53219.01111111,1.53820426,1.85438693,-0.95777059,3.50584803e+10,1.84532163e+10,3.67372825e+09,8.54328306e+08,2.59104289e+08,8.74037870e+07,3.46022868e+07,1.23479112e+07,3.22121964e+06,7.83951529e+05
53219.01180556,1.53366367,1.89997504,-0.95183246,3.73403808e+10,1.96705727e+10,3.92357249e+09,9.13924523e+08,2.77300503e+08,9.34320004e+07,3.69195000e+07,1.31561242e+07,3.44023726e+06,8.41862673e+05
53219.01250000,1.52865033,1.94497724,-0.94560083,3.96741328e+10,2.09180368e+10,4.18077257e+09,9.75548618e+08,2.96186601e+08,9.97165985e+07,3.93460985e+07,1.40069728e+07,3.67286323e+06,9.03689331e+05
53219.01319444,1.52318025,1.98939854,-0.93908636,4.20331255e+10,2.21832055e+10,4.44438535e+09,1.03908543e+09,3.15701415e+08,1.06187414e+08,4.18351638e+07,1.48801632e+07,3.91267281e+06,9.66966193e+05
53219.01388889,1.51726880,2.03324350,-0.93229988,4.43655073e+10,2.34359713e+10,4.70705500e+09,1.10250709e+09,3.35155064e+08,1.12588061e+08,4.42773105e+07,1.57330599e+07,4.14605766e+06,1.02777774e+06
53219.01458333,1.51093106,2.07651714,-0.92525113,4.66978888e+10,2.46887369e+10,4.96972461e+09,1.16592873e+09,3.54608709e+08,1.18988707e+08,4.67194569e+07,1.65859564e+07,4.37944247e+06,1.08858928e+06
53219.01527778,1.50418085,2.11922432,-0.91794984,4.90302706e+10,2.59415027e+10,5.23239426e+09,1.22935038e+09,3.74062358e+08,1.25389354e+08,4.91616036e+07,1.74388531e+07,4.61282732e+06,1.14940083e+06
53219.01597222,1.49703211,2.16136976,-0.91040510,5.13626521e+10,2.71942682e+10,5.49506388e+09,1.29277203e+09,3.93516003e+08,1.31790000e+08,5.16037500e+07,1.82917496e+07,4.84621214e+06,1.21021237e+06
53219.01666667,1.48949758,2.20295831,-0.90262557,5.37186150e+10,2.84628391e+10,5.76423859e+09,1.35800674e+09,4.13546715e+08,1.38359711e+08,5.41062102e+07,1.91674597e+07,5.08458038e+06,1.27097558e+06
53219.01736111,1.48158981,2.24399485,-0.89462001,5.60981586e+10,2.97472148e+10,6.03991833e+09,1.42505451e+09,4.34154487e+08,1.45098484e+08,5.66689835e+07,2.00659831e+07,5.32793200e+06,1.33169045e+06
53219.01805556,1.47332072,2.28448440,-0.88639597,5.84777025e+10,3.10315907e+10,6.31559811e+09,1.49210229e+09,4.54762262e+08,1.51837258e+08,5.92317571e+07,2.09645067e+07,5.57128365e+06,1.39240532e+06
53219.01875000,1.46470178,2.32443150,-0.87796145,6.08572461e+10,3.23159665e+10,6.59127784e+09,1.55915006e+09,4.75370035e+08,1.58576031e+08,6.17945304e+07,2.18630301e+07,5.81463527e+06,1.45312019e+06
53219.01944444,1.45574413,2.36384103,-0.86932383,6.32367897e+10,3.36003422e+10,6.86695758e+09,1.62619783e+09,4.95977807e+08,1.65314804e+08,6.43573037e+07,2.27615535e+07,6.05798688e+06,1.51383505e+06
53219.02013889,1.44645844,2.40271786,-0.86049017,6.55840529e+10,3.48697653e+10,7.14144849e+09,1.69288473e+09,5.16368706e+08,1.71943202e+08,6.68652014e+07,2.36378261e+07,6.29220669e+06,1.57073107e+06
53219.02083333,1.43685460,2.44106636,-0.85146738,6.79506628e+10,3.61549353e+10,7.42284259e+09,1.76144685e+09,5.37302825e+08,1.78735322e+08,6.94325714e+07,2.45364462e+07,6.53121939e+06,1.62743371e+06
