# Legacy Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: Max
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,3.51677773e+07,1.81053770e+07,3.45057642e+06,7.73376404e+05,2.32176422e+05,8.39264145e+04,3.54764175e+04,1.33889160e+04,3.49594688e+03,7.45239019e+02
53219.00069444,1.53582559,1.09757628,-1.00219911,3.44344336e+07,1.78632344e+07,3.44923438e+06,7.79234253e+05,2.33434235e+05,8.05842285e+04,3.27342300e+04,1.19217281e+04,3.02250934e+03,6.67895257e+02
53219.00138889,1.54095775,1.15238275,-1.00243596,3.44344336e+07,1.78632344e+07,3.44923438e+06,7.79234253e+05,2.33434235e+05,8.05842285e+04,3.27342300e+04,1.19217281e+04,3.02250934e+03,6.67895257e+02
53219.00208333,1.54525254,1.20656344,-1.00212801,3.66595273e+07,1.91219258e+07,3.74392627e+06,8.55526306e+05,2.59326294e+05,9.06262741e+04,3.72512703e+04,1.37512703e+04,3.56396484e+03,8.00829947e+02
53219.00277778,1.54874404,1.26011693,-1.00129850,3.66595273e+07,1.91219258e+07,3.74392627e+06,8.55526306e+05,2.59326294e+05,9.06262741e+04,3.72512703e+04,1.37512703e+04,3.56396484e+03,8.00829947e+02
53219.00347222,1.55146409,1.31304307,-0.99997002,3.60329141e+07,1.88697129e+07,3.72771338e+06,8.60913513e+05,2.60513489e+05,8.76134796e+04,3.47384796e+04,1.24009771e+04,3.17334080e+03,7.54101932e+02
53219.00416667,1.55344362,1.36534232,-0.99816377,3.60329141e+07,1.88697129e+07,3.72771338e+06,8.60913513e+05,2.60513489e+05,8.76134796e+04,3.47384796e+04,1.24009771e+04,3.17334080e+03,7.54101932e+02
53219.00486111,1.55471104,1.41701626,-0.99589999,3.60329141e+07,1.88697129e+07,3.72771338e+06,8.60913513e+05,2.60513489e+05,8.76134796e+04,3.47384796e+04,1.24009771e+04,3.17334080e+03,7.54101932e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,3.60329141e+07,1.88697129e+07,3.72771338e+06,8.60913513e+05,2.60513489e+05,8.76134796e+04,3.47384796e+04,1.24009771e+04,3.17334080e+03,7.54101932e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,3.66274883e+07,1.94130898e+07,3.89788989e+06,9.14690063e+05,2.77690033e+05,9.20400391e+04,3.57900391e+04,1.25400400e+04,3.27968812e+03,8.34668159e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,3.66274883e+07,1.94130898e+07,3.89788989e+06,9.14690063e+05,2.77690033e+05,9.20400391e+04,3.57900391e+04,1.25400400e+04,3.27968812e+03,8.34668159e+02
53219.00763889,1.55319249,1.61750188,-0.98263373,3.66274883e+07,1.94130898e+07,3.89788989e+06,9.14690063e+05,2.77690033e+05,9.20400391e+04,3.57900391e+04,1.25400400e+04,3.27968812e+03,8.34668159e+02
53219.00833333,1.55128673,1.66608598,-0.97834803,3.66274883e+07,1.94130898e+07,3.89788989e+06,9.14690063e+05,2.77690033e+05,9.20400391e+04,3.57900391e+04,1.25400400e+04,3.27968812e+03,8.34668159e+02
53219.00902778,1.54881514,1.71406234,-0.97370527,3.88154062e+07,2.06762070e+07,4.20460596e+06,9.97005981e+05,3.05805969e+05,1.02555962e+05,4.03309555e+04,1.43184576e+04,3.82822323e+03,9.87744451e+02
53219.00972222,1.54579812,1.76143505,-0.96871939,3.80316719e+07,2.02892715e+07,4.16407031e+06,9.93270203e+05,3.03270203e+05,1.00470215e+05,3.86202164e+04,1.34702158e+04,3.65029335e+03,9.65185642e+02
53219.01041667,1.54225483,1.80820850,-0.96340360,3.80316719e+07,2.02892715e+07,4.16407031e+06,9.93270203e+05,3.03270203e+05,1.00470215e+05,3.86202164e+04,1.34702158e+04,3.65029335e+03,9.65185642e+02
53219.01111111,1.53820426,1.85438693,-0.95777059,3.80316719e+07,2.02892715e+07,4.16407031e+06,9.93270203e+05,3.03270203e+05,1.00470215e+05,3.86202164e+04,1.34702158e+04,3.65029335e+03,9.65185642e+02
53219.01180556,1.53366367,1.89997504,-0.95183246,3.80316719e+07,2.02892715e+07,4.16407031e+06,9.93270203e+05,3.03270203e+05,1.00470215e+05,3.86202164e+04,1.34702158e+04,3.65029335e+03,9.65185642e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,3.97600664e+07,2.12928672e+07,4.40926611e+06,1.06086646e+06,3.26266418e+05,1.09016403e+05,4.22664070e+04,1.48914061e+04,4.10390615e+03,1.09570312e+03
53219.01319444,1.52318025,1.98939854,-0.93908636,3.88730273e+07,2.08794277e+07,4.37782715e+06,1.05702747e+06,3.24227448e+05,1.06677444e+05,4.07024422e+04,1.42149429e+04,3.88974714e+03,1.01352572e+03
53219.01388889,1.51726880,2.03324350,-0.93229988,3.88730273e+07,2.08794277e+07,4.37782715e+06,1.05702747e+06,3.24227448e+05,1.06677444e+05,4.07024422e+04,1.42149429e+04,3.88974714e+03,1.01352572e+03
53219.01458333,1.51093106,2.07651714,-0.92525113,3.88730273e+07,2.08794277e+07,4.37782715e+06,1.05702747e+06,3.24227448e+05,1.06677444e+05,4.07024422e+04,1.42149429e+04,3.88974714e+03,1.01352572e+03
53219.01527778,1.50418085,2.11922432,-0.91794984,3.88730273e+07,2.08794277e+07,4.37782715e+06,1.05702747e+06,3.24227448e+05,1.06677444e+05,4.07024422e+04,1.42149429e+04,3.88974714e+03,1.01352572e+03
53219.01597222,1.49703211,2.16136976,-0.91040510,3.88730273e+07,2.08794277e+07,4.37782715e+06,1.05702747e+06,3.24227448e+05,1.06677444e+05,4.07024422e+04,1.42149429e+04,3.88974714e+03,1.01352572e+03
53219.01666667,1.48949758,2.20295831,-0.90262557,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.01736111,1.48158981,2.24399485,-0.89462001,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.01805556,1.47332072,2.28448440,-0.88639597,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.01875000,1.46470178,2.32443150,-0.87796145,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.01944444,1.45574413,2.36384103,-0.86932383,3.96590625e+07,2.14062637e+07,4.59466260e+06,1.11746289e+06,3.43462891e+05,1.12312889e+05,4.27128906e+04,1.49753914e+04,4.05586052e+03,1.01191449e+03
53219.02013889,1.44645844,2.40271786,-0.86049017,3.85830352e+07,2.09078340e+07,4.55503369e+06,1.10543372e+06,3.36233704e+05,1.08633698e+05,4.08836937e+04,1.42336922e+04,3.75146580e+03,8.84619415e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02152778,1.42694265,2.47889157,-0.84226174,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02222222,1.41673201,2.51619773,-0.83287968,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02291667,1.40623164,2.55298955,-0.82332732,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02361111,1.39545046,2.58927141,-0.81361047,4.03039688e+07,2.19311699e+07,4.82477002e+06,1.17997034e+06,3.61570312e+05,1.17770317e+05,4.46953125e+04,1.57203131e+04,4.21562481e+03,1.00546873e+03
53219.02430556,1.38439666,2.62504771,-0.80373478,3.91644648e+07,2.13804648e+07,4.75886523e+06,1.16126550e+06,3.51265533e+05,1.13665527e+05,4.30405273e+04,1.50030270e+04,3.91533160e+03,9.20068026e+02
