# Irene Model output file: ../../unitTests/Legacy/CRRactive_atEpoch_Intg.CRRESPRO.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Activity Level: Active
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.26707998e+06,1.56225943e+05,6.28318505e+04,2.33823793e+04,8.71387544e+03,8.71387544e+03,9.18975565e+02,6.69030178e+02,1.55153415e+02,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,2.43494374e+06,2.95991105e+05,1.17485505e+05,4.30098204e+04,1.58355101e+04,1.58355101e+04,1.67737330e+03,1.31059849e+03,3.06935573e+02,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,3.88440665e+06,4.66352421e+05,1.82238632e+05,6.53202808e+04,2.39760767e+04,2.39760767e+04,2.51492609e+03,1.99495024e+03,4.66874398e+02,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,5.61546915e+06,6.67309943e+05,2.57091254e+05,9.03137675e+04,3.31355780e+04,3.31355780e+04,3.43163420e+03,2.72208563e+03,6.34969939e+02,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,7.21748315e+06,8.50654660e+05,3.26515270e+05,1.14047498e+05,4.12362212e+04,4.12362212e+04,4.28443585e+03,3.35951315e+03,7.79658153e+02,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,8.69044918e+06,1.01638663e+06,3.90510703e+05,1.36521481e+05,4.82780091e+04,4.82780091e+04,5.07333129e+03,3.90723298e+03,9.00939087e+02,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.01634150e+07,1.18211857e+06,4.54506125e+05,1.58995460e+05,5.53197959e+04,5.53197959e+04,5.86222662e+03,4.45495273e+03,1.02222000e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.16363810e+07,1.34785054e+06,5.18501558e+05,1.81469443e+05,6.23615837e+04,6.23615837e+04,6.65112206e+03,5.00267256e+03,1.14350093e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.31715721e+07,1.51822038e+06,5.84279121e+05,2.03734985e+05,6.94139623e+04,6.94139623e+04,7.41000932e+03,5.55294242e+03,1.26476337e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,1.47689884e+07,1.69322812e+06,6.51838824e+05,2.25792090e+05,7.64769326e+04,7.64769326e+04,8.13888852e+03,6.10576240e+03,1.38600734e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,1.63664050e+07,1.86823589e+06,7.19398536e+05,2.47849198e+05,8.35399038e+04,8.35399038e+04,8.86776782e+03,6.65858246e+03,1.50725132e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.79638213e+07,2.04324363e+06,7.86958239e+05,2.69906303e+05,9.06028742e+04,9.06028742e+04,9.59664702e+03,7.21140244e+03,1.62849529e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.99288631e+07,2.26527429e+06,8.70538652e+05,2.97166856e+05,9.92335994e+04,9.92335994e+04,1.04515536e+04,7.81493819e+03,1.75680703e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,2.20832701e+07,2.50714490e+06,9.57836413e+05,3.25672769e+05,1.08005430e+05,1.08005430e+05,1.12376836e+04,8.38469171e+03,1.87250526e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.40594176e+07,2.72183262e+06,1.03283084e+06,3.50220606e+05,1.15350614e+05,1.15350614e+05,1.18290099e+04,8.86994745e+03,1.96852226e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,2.60355648e+07,2.93652031e+06,1.10782527e+06,3.74768440e+05,1.22695797e+05,1.22695797e+05,1.24203362e+04,9.35520311e+03,2.06453925e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,2.80117123e+07,3.15120803e+06,1.18281970e+06,3.99316277e+05,1.30040981e+05,1.30040981e+05,1.30116625e+04,9.84045885e+03,2.16055626e+03,6.40799980e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,3.02999881e+07,3.39961779e+06,1.26942770e+06,4.27045948e+05,1.38128176e+05,1.38128176e+05,1.36782012e+04,1.03617531e+04,2.26387263e+03,9.13895972e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,3.26054714e+07,3.64391026e+06,1.35388154e+06,4.52729163e+05,1.45427736e+05,1.45427736e+05,1.43532064e+04,1.08780330e+04,2.37043534e+03,1.18699197e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,3.46160341e+07,3.85036340e+06,1.42456763e+06,4.73184089e+05,1.51197652e+05,1.51197652e+05,1.49614656e+04,1.13532599e+04,2.47294501e+03,1.18699197e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,3.66265965e+07,4.05681652e+06,1.49525371e+06,4.93639012e+05,1.56967567e+05,1.56967567e+05,1.55697248e+04,1.18284867e+04,2.57545467e+03,1.18699197e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,3.86371591e+07,4.26326967e+06,1.56593981e+06,5.14093938e+05,1.62737482e+05,1.62737482e+05,1.61779840e+04,1.23037136e+04,2.67796435e+03,1.18699197e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,4.06477215e+07,4.46972278e+06,1.63662589e+06,5.34548861e+05,1.68507397e+05,1.68507397e+05,1.67862432e+04,1.27789404e+04,2.78047401e+03,1.18699197e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,4.27265823e+07,4.67528801e+06,1.70615542e+06,5.54989786e+05,1.74382320e+05,1.74382320e+05,1.73535062e+04,1.32586900e+04,2.87914209e+03,1.18699197e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
