# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.03007814e+05,6.69374960e+05,5.23124969e+05,1.04999994e+05,2.92675782e+04,8.49611917e+03,3.59249980e+03,5.51159945e+02,1.57679990e+02,1.61399997e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,2.06015641e+05,1.33875001e+06,1.04625001e+06,2.10000002e+05,5.85351603e+04,1.69922395e+04,7.18500009e+03,1.10231997e+03,3.15360001e+02,3.22800016e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,3.44003931e+05,2.05406246e+06,1.63171872e+06,3.22265633e+05,8.94872985e+04,2.56641286e+04,1.08068098e+04,1.63973993e+03,4.70759993e+02,4.79400010e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,5.16972724e+05,2.81531253e+06,2.27953127e+06,4.41796922e+05,1.22124002e+05,3.45117892e+04,1.44579300e+04,2.16341999e+03,6.23880013e+02,6.31200027e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,6.94746171e+05,3.60093747e+06,2.95359373e+06,5.66718803e+05,1.56430621e+05,4.38501586e+04,1.83342598e+04,2.72372995e+03,7.89480005e+02,7.98000019e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,8.77324326e+05,4.41093754e+06,3.65390629e+06,6.97031314e+05,1.92407165e+05,5.36792395e+04,2.24358003e+04,3.32066998e+03,9.67560021e+02,9.79800040e+01
53219.00486111,1.55471104,1.41701626,-0.99589999,1.11111338e+06,5.36156248e+06,4.34062499e+06,8.31210985e+05,2.30522373e+05,6.37353889e+04,2.65446901e+04,3.90293994e+03,1.13946001e+03,1.15890003e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,1.39611340e+06,6.45281257e+06,5.01375005e+06,9.69257858e+05,2.70776258e+05,7.40186099e+04,3.06609304e+04,4.47054001e+03,1.30518003e+03,1.33530004e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,1.68111338e+06,7.54406249e+06,5.68687500e+06,1.10730471e+06,3.11030137e+05,8.43018293e+04,3.47771702e+04,5.03813999e+03,1.47090002e+03,1.51170003e+02
