# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Diff.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.71679699e+03,1.11562500e+04,8.71875000e+03,1.75000000e+03,4.87792999e+02,1.41601995e+02,5.98750003e+01,9.18599963e+00,2.62799999e+00,2.69000011e-01
53219.00069444,1.53582559,1.09757628,-1.00219911,1.71679699e+03,1.11562500e+04,8.71875000e+03,1.75000000e+03,4.87792999e+02,1.41601995e+02,5.98750003e+01,9.18599963e+00,2.62799999e+00,2.69000011e-01
53219.00138889,1.54095775,1.15238275,-1.00243596,1.71679699e+03,1.11562500e+04,8.71875000e+03,1.75000000e+03,4.87792999e+02,1.41601995e+02,5.98750003e+01,9.18599963e+00,2.62799999e+00,2.69000011e-01
53219.00208333,1.54525254,1.20656344,-1.00212801,2.88281298e+03,1.26875000e+04,1.07968750e+04,1.99218798e+03,5.43945014e+02,1.47460997e+02,6.08519986e+01,8.72800034e+00,2.55200011e+00,2.53000006e-01
53219.00277778,1.54874404,1.26011693,-1.00129850,2.88281298e+03,1.26875000e+04,1.07968750e+04,1.99218798e+03,5.43945014e+02,1.47460997e+02,6.08519986e+01,8.72800034e+00,2.55200011e+00,2.53000006e-01
53219.00347222,1.55146409,1.31304307,-0.99997002,3.04296899e+03,1.35000000e+04,1.16718750e+04,2.17187500e+03,5.99609017e+02,1.63818002e+02,6.83590025e+01,9.94899962e+00,2.96800002e+00,3.03000008e-01
53219.00416667,1.55344362,1.36534232,-0.99816377,3.04296899e+03,1.35000000e+04,1.16718750e+04,2.17187500e+03,5.99609017e+02,1.63818002e+02,6.83590025e+01,9.94899962e+00,2.96800002e+00,3.03000008e-01
53219.00486111,1.55471104,1.41701626,-0.99589999,4.75000000e+03,1.81875000e+04,1.12187500e+04,2.30078101e+03,6.70898020e+02,1.71387002e+02,6.86039999e+01,9.46000032e+00,2.76200008e+00,2.93999998e-01
53219.00555556,1.55529429,1.46806646,-0.99319736,4.75000000e+03,1.81875000e+04,1.12187500e+04,2.30078101e+03,6.70898020e+02,1.71387002e+02,6.86039999e+01,9.46000032e+00,2.76200008e+00,2.93999998e-01
53219.00625000,1.55521927,1.51849557,-0.99007424,4.75000000e+03,1.81875000e+04,1.12187500e+04,2.30078101e+03,6.70898020e+02,1.71387002e+02,6.86039999e+01,9.46000032e+00,2.76200008e+00,2.93999998e-01
53219.00694444,1.55451077,1.56830628,-0.98654759,4.75000000e+03,1.81875000e+04,1.12187500e+04,2.30078101e+03,6.70898020e+02,1.71387002e+02,6.86039999e+01,9.46000032e+00,2.76200008e+00,2.93999998e-01
53219.00763889,1.55319249,1.61750188,-0.98263373,4.92187500e+03,1.89375000e+04,1.17968750e+04,2.42968798e+03,7.12890983e+02,1.83349997e+02,7.38530010e+01,1.02690002e+01,3.03300004e+00,3.29000002e-01
53219.00833333,1.55128673,1.66608598,-0.97834803,4.92187500e+03,1.89375000e+04,1.17968750e+04,2.42968798e+03,7.12890983e+02,1.83349997e+02,7.38530010e+01,1.02690002e+01,3.03300004e+00,3.29000002e-01
53219.00902778,1.54881514,1.71406234,-0.97370527,7.33593798e+03,2.03750000e+04,1.47812500e+04,2.53906298e+03,7.75390983e+02,1.91894993e+02,7.37299994e+01,9.76600032e+00,2.70100008e+00,3.19000013e-01
53219.00972222,1.54579812,1.76143505,-0.96871939,7.33593798e+03,2.03750000e+04,1.47812500e+04,2.53906298e+03,7.75390983e+02,1.91894993e+02,7.37299994e+01,9.76600032e+00,2.70100008e+00,3.19000013e-01
53219.01041667,1.54225483,1.80820850,-0.96340360,7.71093798e+03,2.15312500e+04,1.58750000e+04,2.75390601e+03,8.47656012e+02,2.11669996e+02,8.21529999e+01,1.10320002e+01,3.10899992e+00,3.76999989e-01
53219.01111111,1.53820426,1.85438693,-0.95777059,7.71093798e+03,2.15312500e+04,1.58750000e+04,2.75390601e+03,8.47656012e+02,2.11669996e+02,8.21529999e+01,1.10320002e+01,3.10899992e+00,3.76999989e-01
53219.01180556,1.53366367,1.89997504,-0.95183246,7.71093798e+03,2.15312500e+04,1.58750000e+04,2.75390601e+03,8.47656012e+02,2.11669996e+02,8.21529999e+01,1.10320002e+01,3.10899992e+00,3.76999989e-01
53219.01250000,1.52865033,1.94497724,-0.94560083,1.06562500e+04,2.29687500e+04,1.54218750e+04,3.00390601e+03,9.08203006e+02,2.23389000e+02,8.20309967e+01,1.09559996e+01,2.65499996e+00,3.65999993e-01
53219.01319444,1.52318025,1.98939854,-0.93908636,1.06562500e+04,2.29687500e+04,1.54218750e+04,3.00390601e+03,9.08203006e+02,2.23389000e+02,8.20309967e+01,1.09559996e+01,2.65499996e+00,3.65999993e-01
53219.01388889,1.51726880,2.03324350,-0.93229988,1.06562500e+04,2.29687500e+04,1.54218750e+04,3.00390601e+03,9.08203006e+02,2.23389000e+02,8.20309967e+01,1.09559996e+01,2.65499996e+00,3.65999993e-01
53219.01458333,1.51093106,2.07651714,-0.92525113,1.10781250e+04,2.39687500e+04,1.62812500e+04,3.19531298e+03,9.71679986e+02,2.40479007e+02,8.89889970e+01,1.20090004e+01,2.95299990e+00,4.14999988e-01
53219.01527778,1.50418085,2.11922432,-0.91794984,1.10781250e+04,2.39687500e+04,1.62812500e+04,3.19531298e+03,9.71679986e+02,2.40479007e+02,8.89889970e+01,1.20090004e+01,2.95299990e+00,4.14999988e-01
53219.01597222,1.49703211,2.16136976,-0.91040510,1.10781250e+04,2.39687500e+04,1.62812500e+04,3.19531298e+03,9.71679986e+02,2.40479007e+02,8.89889970e+01,1.20090004e+01,2.95299990e+00,4.14999988e-01
53219.01666667,1.48949758,2.20295831,-0.90262557,1.69375000e+04,3.36250000e+04,1.80312500e+04,3.48046899e+03,1.03710902e+03,2.50977010e+02,8.88670012e+01,1.19019998e+01,2.52200011e+00,4.13000002e-01
53219.01736111,1.48158981,2.24399485,-0.89462001,1.69375000e+04,3.36250000e+04,1.80312500e+04,3.48046899e+03,1.03710902e+03,2.50977010e+02,8.88670012e+01,1.19019998e+01,2.52200011e+00,4.13000002e-01
53219.01805556,1.47332072,2.28448440,-0.88639597,1.69375000e+04,3.36250000e+04,1.80312500e+04,3.48046899e+03,1.03710902e+03,2.50977010e+02,8.88670012e+01,1.19019998e+01,2.52200011e+00,4.13000002e-01
53219.01875000,1.46470178,2.32443150,-0.87796145,1.75625000e+04,3.50000000e+04,1.89687500e+04,3.68750000e+03,1.10351598e+03,2.69042999e+02,9.59469974e+01,1.29549997e+01,2.78099999e+00,4.64000012e-01
53219.01944444,1.45574413,2.36384103,-0.86932383,1.75625000e+04,3.50000000e+04,1.89687500e+04,3.68750000e+03,1.10351598e+03,2.69042999e+02,9.59469974e+01,1.29549997e+01,2.78099999e+00,4.64000012e-01
53219.02013889,1.44645844,2.40271786,-0.86049017,1.75625000e+04,3.50000000e+04,1.89687500e+04,3.68750000e+03,1.10351598e+03,2.69042999e+02,9.59469974e+01,1.29549997e+01,2.78099999e+00,4.64000012e-01
53219.02083333,1.43685460,2.44106636,-0.85146738,2.66875000e+04,3.98125000e+04,1.97500000e+04,3.96093798e+03,1.15625000e+03,2.88574010e+02,9.54589993e+01,1.33360000e+01,2.34199991e+00,4.61999996e-01
53219.02152778,1.42694265,2.47889157,-0.84226174,2.66875000e+04,3.98125000e+04,1.97500000e+04,3.96093798e+03,1.15625000e+03,2.88574010e+02,9.54589993e+01,1.33360000e+01,2.34199991e+00,4.61999996e-01
53219.02222222,1.41673201,2.51619773,-0.83287968,2.77187500e+04,4.15625000e+04,2.08437500e+04,4.21093798e+03,1.23632801e+03,3.10546994e+02,1.03394002e+02,1.46180000e+01,2.60200002e+00,5.23999974e-01
53219.02291667,1.40623164,2.55298955,-0.82332732,2.77187500e+04,4.15625000e+04,2.08437500e+04,4.21093798e+03,1.23632801e+03,3.10546994e+02,1.03394002e+02,1.46180000e+01,2.60200002e+00,5.23999974e-01
53219.02361111,1.39545046,2.58927141,-0.81361047,2.77187500e+04,4.15625000e+04,2.08437500e+04,4.21093798e+03,1.23632801e+03,3.10546994e+02,1.03394002e+02,1.46180000e+01,2.60200002e+00,5.23999974e-01
53219.02430556,1.38439666,2.62504771,-0.80373478,2.77187500e+04,4.15625000e+04,2.08437500e+04,4.21093798e+03,1.23632801e+03,3.10546994e+02,1.03394002e+02,1.46180000e+01,2.60200002e+00,5.23999974e-01
53219.02500000,1.37307870,2.66032286,-0.79370542,4.02500000e+04,5.85625000e+04,2.31875000e+04,4.29687500e+03,1.28320301e+03,3.31054986e+02,1.02904998e+02,1.43590001e+01,2.21999991e+00,5.21000009e-01
53219.02569444,1.36150411,2.69510108,-0.78352791,4.02500000e+04,5.85625000e+04,2.31875000e+04,4.29687500e+03,1.28320301e+03,3.31054986e+02,1.02904998e+02,1.43590001e+01,2.21999991e+00,5.21000009e-01
53219.02638889,1.34968075,2.72938677,-0.77320693,4.13125000e+04,6.03750000e+04,2.40625000e+04,4.48437500e+03,1.34375000e+03,3.48145008e+02,1.08764999e+02,1.52589995e+01,2.37999996e+00,5.66000002e-01
53219.02708333,1.33761568,2.76318386,-0.76274752,4.13125000e+04,6.03750000e+04,2.40625000e+04,4.48437500e+03,1.34375000e+03,3.48145008e+02,1.08764999e+02,1.52589995e+01,2.37999996e+00,5.66000002e-01
53219.02777778,1.32531611,2.79649642,-0.75215438,4.13125000e+04,6.03750000e+04,2.40625000e+04,4.48437500e+03,1.34375000e+03,3.48145008e+02,1.08764999e+02,1.52589995e+01,2.37999996e+00,5.66000002e-01
53219.02847222,1.31278896,2.82932870,-0.74143207,4.13125000e+04,6.03750000e+04,2.40625000e+04,4.48437500e+03,1.34375000e+03,3.48145008e+02,1.08764999e+02,1.52589995e+01,2.37999996e+00,5.66000002e-01
53219.02916667,1.30004065,2.86168446,-0.73058466,6.06250000e+04,7.37500000e+04,2.68437500e+04,4.53125000e+03,1.39062500e+03,3.70604992e+02,1.07910000e+02,1.49839995e+01,2.03300011e+00,5.61999972e-01
53219.02986111,1.28707747,2.89356762,-0.71961671,6.06250000e+04,7.37500000e+04,2.68437500e+04,4.53125000e+03,1.39062500e+03,3.70604992e+02,1.07910000e+02,1.49839995e+01,2.03300011e+00,5.61999972e-01
53219.03055556,1.27390601,2.92498195,-0.70853199,6.06250000e+04,7.37500000e+04,2.68437500e+04,4.53125000e+03,1.39062500e+03,3.70604992e+02,1.07910000e+02,1.49839995e+01,2.03300011e+00,5.61999972e-01
53219.03125000,1.26053177,2.95593122,-0.69733473,6.06250000e+04,7.37500000e+04,2.68437500e+04,4.53125000e+03,1.39062500e+03,3.70604992e+02,1.07910000e+02,1.49839995e+01,2.03300011e+00,5.61999972e-01
53219.03194444,1.24696101,2.98641920,-0.68602853,6.26875000e+04,7.66250000e+04,2.81875000e+04,4.78906298e+03,1.47851598e+03,3.96973014e+02,1.16333000e+02,1.62959993e+01,2.23900005e+00,6.31999981e-01
53219.03263889,1.23319893,3.01644949,-0.67461718,6.26875000e+04,7.66250000e+04,2.81875000e+04,4.78906298e+03,1.47851598e+03,3.96973014e+02,1.16333000e+02,1.62959993e+01,2.23900005e+00,6.31999981e-01
53219.03333333,1.21925132,3.04602571,-0.66310412,6.26875000e+04,7.66250000e+04,2.81875000e+04,4.78906298e+03,1.47851598e+03,3.96973014e+02,1.16333000e+02,1.62959993e+01,2.23900005e+00,6.31999981e-01
53219.03402778,1.20512321,3.07515099,-0.65149297,9.21250000e+04,9.86250000e+04,3.03125000e+04,5.29687500e+03,1.52929699e+03,4.13085997e+02,1.13891996e+02,1.59910005e+01,1.97599991e+00,6.30000024e-01
