# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,5.82436031e+05,4.80737772e+05,1.76847171e+05,3.81440641e+04,1.12905508e+04,3.73781093e+03,1.32008697e+03,3.81122963e+02,9.36449915e+01,1.33154993e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,1.16487214e+06,9.61475609e+05,3.53694366e+05,7.62881333e+04,2.25811030e+04,7.47562236e+03,2.64017413e+03,7.62245978e+02,1.87289996e+02,2.66310004e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,1.80629688e+06,1.48933834e+06,5.48217269e+05,1.16627460e+05,3.42768755e+04,1.12465891e+04,3.95240110e+03,1.13514297e+03,2.79173991e+02,3.95504997e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,2.50671043e+06,2.06432613e+06,7.60415941e+05,1.59162056e+05,4.63778718e+04,1.50507124e+04,5.25676829e+03,1.49981404e+03,3.69297004e+02,5.20740010e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,3.23347704e+06,2.66177929e+06,9.81673800e+05,2.03771491e+05,5.91416050e+04,1.90854481e+04,6.64856427e+03,1.89222003e+03,4.67199002e+02,6.58350005e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,3.98659694e+06,3.28169801e+06,1.21199092e+06,2.50455779e+05,7.25680793e+04,2.33507974e+04,8.12778948e+03,2.31236107e+03,5.72880016e+02,8.08335025e+01
53219.00486111,1.55471104,1.41701626,-0.99589999,4.78938387e+06,3.92474375e+06,1.44172808e+06,2.98845296e+05,8.64986195e+04,2.76470656e+04,9.59104995e+03,2.72093554e+03,6.75489011e+02,9.56092517e+01
53219.00555556,1.55529429,1.46806646,-0.99319736,5.64183809e+06,4.59091669e+06,1.67088535e+06,3.48940056e+05,1.00933230e+05,3.19742541e+04,1.10383461e+04,3.11794358e+03,7.75026020e+02,1.10162253e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,6.49429218e+06,5.25708953e+06,1.90004258e+06,3.99034808e+05,1.15367838e+05,3.63014419e+04,1.24856421e+04,3.51495156e+03,8.74563013e+02,1.24715252e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,7.34674628e+06,5.92326237e+06,2.12919982e+06,4.49129561e+05,1.29802446e+05,4.06286298e+04,1.39329381e+04,3.91195954e+03,9.74100007e+02,1.39268251e+02
53219.00763889,1.55319249,1.61750188,-0.98263373,8.21923978e+06,6.60575977e+06,2.36454483e+06,5.00736282e+05,1.44723617e+05,4.51186431e+04,1.54397873e+04,4.32731858e+03,1.07882477e+03,1.54687502e+02
53219.00833333,1.55128673,1.66608598,-0.97834803,9.11177246e+06,7.30458152e+06,2.60607756e+06,5.53854957e+05,1.60131346e+05,4.97714807e+04,1.70061892e+04,4.76102856e+03,1.18873726e+03,1.70973001e+02
53219.00902778,1.54881514,1.71406234,-0.97370527,1.00823794e+07,8.06341310e+06,2.86989738e+06,6.08459922e+05,1.75994108e+05,5.44530799e+04,1.85508203e+04,5.17974162e+03,1.29392178e+03,1.87011002e+02
53219.00972222,1.54579812,1.76143505,-0.96871939,1.11310604e+07,8.88225429e+06,3.15600424e+06,6.64551160e+05,1.92311900e+05,5.91634397e+04,2.00736803e+04,5.58345764e+03,1.39437827e+03,2.02801501e+02
53219.01041667,1.54225483,1.80820850,-0.96340360,1.22148580e+07,9.72990731e+06,3.45332126e+06,7.23180677e+05,2.09445318e+05,6.41371852e+04,2.16907374e+04,6.01564070e+03,1.50290778e+03,2.20027502e+02
53219.01111111,1.53820426,1.85438693,-0.95777059,1.33337719e+07,1.06063719e+07,3.76184838e+06,7.84348457e+05,2.27394359e+05,6.93743150e+04,2.34019912e+04,6.47629068e+03,1.61951027e+03,2.38688999e+02
53219.01180556,1.53366367,1.89997504,-0.95183246,1.44526859e+07,1.14828366e+07,4.07037554e+06,8.45516246e+05,2.45343403e+05,7.46114457e+04,2.51132453e+04,6.93694073e+03,1.73611278e+03,2.57350500e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,1.55974534e+07,1.23643014e+07,4.37969586e+06,9.09035811e+05,2.63780945e+05,7.99034799e+04,2.68098216e+04,7.38455719e+03,1.84638228e+03,2.75739748e+02
53219.01319444,1.52318025,1.98939854,-0.93908636,1.67680746e+07,1.32507665e+07,4.68980938e+06,9.74907163e+05,2.82706988e+05,8.52504186e+04,2.84917205e+04,7.81914015e+03,1.95031878e+03,2.93856747e+02
53219.01388889,1.51726880,2.03324350,-0.93229988,1.79386960e+07,1.41372316e+07,4.99992295e+06,1.04077852e+06,3.01633034e+05,9.05973580e+04,3.01736195e+04,8.25372318e+03,2.05425529e+03,3.11973748e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,1.91388443e+07,1.50472588e+07,5.31921973e+06,1.10888391e+06,3.21263811e+05,9.61656291e+04,3.19325629e+04,8.71096665e+03,2.16441679e+03,3.31303497e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,2.03685199e+07,1.59808483e+07,5.64769981e+06,1.17922335e+06,3.41599325e+05,1.01955234e+05,3.37685511e+04,9.19087071e+03,2.28080329e+03,3.51845998e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,2.15981952e+07,1.69144377e+07,5.97617984e+06,1.24956277e+06,3.61934837e+05,1.07744837e+05,3.56045391e+04,9.67077471e+03,2.39718978e+03,3.72388496e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,2.29859738e+07,1.79391576e+07,6.32079030e+06,1.32250915e+06,3.82773779e+05,1.13582308e+05,3.74261378e+04,1.01383053e+04,2.50798204e+03,3.92881497e+02
