# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESELE.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,9.70726776e+03,8.01229668e+03,2.94745302e+03,6.35734439e+02,1.88175857e+02,6.22968525e+01,2.20014509e+01,6.35204976e+00,1.56074995e+00,2.21925002e-01
53219.00069444,1.53582559,1.09757628,-1.00219911,9.70726776e+03,8.01229668e+03,2.94745302e+03,6.35734439e+02,1.88175857e+02,6.22968525e+01,2.20014509e+01,6.35204976e+00,1.56074995e+00,2.21925002e-01
53219.00138889,1.54095775,1.15238275,-1.00243596,9.70726776e+03,8.01229668e+03,2.94745302e+03,6.35734439e+02,1.88175857e+02,6.22968525e+01,2.20014509e+01,6.35204976e+00,1.56074995e+00,2.21925002e-01
53219.00208333,1.54525254,1.20656344,-1.00212801,1.16735582e+04,9.58312893e+03,3.53664422e+03,7.08909869e+02,2.01683253e+02,6.34020492e+01,2.17394512e+01,6.07785070e+00,1.50205009e+00,2.08725003e-01
53219.00277778,1.54874404,1.26011693,-1.00129850,1.16735582e+04,9.58312893e+03,3.53664422e+03,7.08909869e+02,2.01683253e+02,6.34020492e+01,2.17394512e+01,6.07785070e+00,1.50205009e+00,2.08725003e-01
53219.00347222,1.55146409,1.31304307,-0.99997002,1.25519972e+04,1.03319778e+04,3.83861828e+03,7.78071404e+02,2.23774552e+02,7.10891485e+01,2.46537514e+01,7.00234994e+00,1.76135008e+00,2.49975012e-01
53219.00416667,1.55344362,1.36534232,-0.99816377,1.25519972e+04,1.03319778e+04,3.83861828e+03,7.78071404e+02,2.23774552e+02,7.10891485e+01,2.46537514e+01,7.00234994e+00,1.76135008e+00,2.49975012e-01
53219.00486111,1.55471104,1.41701626,-0.99589999,1.42075691e+04,1.11028814e+04,3.81928754e+03,8.34912598e+02,2.40576819e+02,7.21198022e+01,2.41216011e+01,6.61680009e+00,1.65895000e+00,2.42549999e-01
53219.00555556,1.55529429,1.46806646,-0.99319736,1.42075691e+04,1.11028814e+04,3.81928754e+03,8.34912598e+02,2.40576819e+02,7.21198022e+01,2.41216011e+01,6.61680009e+00,1.65895000e+00,2.42549999e-01
53219.00625000,1.55521927,1.51849557,-0.99007424,1.42075691e+04,1.11028814e+04,3.81928754e+03,8.34912598e+02,2.40576819e+02,7.21198022e+01,2.41216011e+01,6.61680009e+00,1.65895000e+00,2.42549999e-01
53219.00694444,1.55451077,1.56830628,-0.98654759,1.42075691e+04,1.11028814e+04,3.81928754e+03,8.34912598e+02,2.40576819e+02,7.21198022e+01,2.41216011e+01,6.61680009e+00,1.65895000e+00,2.42549999e-01
53219.00763889,1.55319249,1.61750188,-0.98263373,1.48755455e+04,1.16470299e+04,4.02554560e+03,8.85311306e+02,2.56795496e+02,7.75472969e+01,2.61067003e+01,7.22850021e+00,1.83187507e+00,2.71425000e-01
53219.00833333,1.55128673,1.66608598,-0.97834803,1.48755455e+04,1.16470299e+04,4.02554560e+03,8.85311306e+02,2.56795496e+02,7.75472969e+01,2.61067003e+01,7.22850021e+00,1.83187507e+00,2.71425000e-01
53219.00902778,1.54881514,1.71406234,-0.97370527,1.74780178e+04,1.36473541e+04,4.76844788e+03,9.34854031e+02,2.71963209e+02,7.85060003e+01,2.53810007e+01,6.72860071e+00,1.67427503e+00,2.63174996e-01
53219.00972222,1.54579812,1.76143505,-0.96871939,1.74780178e+04,1.36473541e+04,4.76844788e+03,9.34854031e+02,2.71963209e+02,7.85060003e+01,2.53810007e+01,6.72860071e+00,1.67427503e+00,2.63174996e-01
53219.01041667,1.54225483,1.80820850,-0.96340360,1.86485653e+04,1.46077442e+04,5.14211893e+03,1.01946306e+03,2.99150705e+02,8.72855037e+01,2.85208989e+01,7.67750014e+00,1.94337498e+00,3.11024982e-01
53219.01111111,1.53820426,1.85438693,-0.95777059,1.86485653e+04,1.46077442e+04,5.14211893e+03,1.01946306e+03,2.99150705e+02,8.72855037e+01,2.85208989e+01,7.67750014e+00,1.94337498e+00,3.11024982e-01
53219.01180556,1.53366367,1.89997504,-0.95183246,1.86485653e+04,1.46077442e+04,5.14211893e+03,1.01946306e+03,2.99150705e+02,8.72855037e+01,2.85208989e+01,7.67750014e+00,1.94337498e+00,3.11024982e-01
53219.01250000,1.52865033,1.94497724,-0.94560083,1.95103550e+04,1.47744179e+04,5.16855907e+03,1.09785593e+03,3.15434068e+02,8.91156495e+01,2.80316491e+01,7.24304980e+00,1.73227512e+00,3.01950000e-01
53219.01319444,1.52318025,1.98939854,-0.93908636,1.95103550e+04,1.47744179e+04,5.16855907e+03,1.09785593e+03,3.15434068e+02,8.91156495e+01,2.80316491e+01,7.24304980e+00,1.73227512e+00,3.01950000e-01
53219.01388889,1.51726880,2.03324350,-0.93229988,1.95103550e+04,1.47744179e+04,5.16855907e+03,1.09785593e+03,3.15434068e+02,8.91156495e+01,2.80316491e+01,7.24304980e+00,1.73227512e+00,3.01950000e-01
53219.01458333,1.51093106,2.07651714,-0.92525113,2.04945908e+04,1.55598240e+04,5.47466755e+03,1.17232382e+03,3.38925213e+02,9.64934006e+01,3.05998009e+01,7.99840037e+00,1.93977496e+00,3.42374988e-01
53219.01527778,1.50418085,2.11922432,-0.91794984,2.04945908e+04,1.55598240e+04,5.47466755e+03,1.17232382e+03,3.38925213e+02,9.64934006e+01,3.05998009e+01,7.99840037e+00,1.93977496e+00,3.42374988e-01
53219.01597222,1.49703211,2.16136976,-0.91040510,2.04945908e+04,1.55598240e+04,5.47466755e+03,1.17232382e+03,3.38925213e+02,9.64934006e+01,3.05998009e+01,7.99840037e+00,1.93977496e+00,3.42374988e-01
53219.01666667,1.48949758,2.20295831,-0.90262557,2.57646904e+04,1.85975037e+04,6.01234674e+03,1.25922179e+03,3.55706155e+02,9.80889574e+01,3.01201511e+01,7.58595020e+00,1.75330008e+00,3.40725004e-01
53219.01736111,1.48158981,2.24399485,-0.89462001,2.57646904e+04,1.85975037e+04,6.01234674e+03,1.25922179e+03,3.55706155e+02,9.80889574e+01,3.01201511e+01,7.58595020e+00,1.75330008e+00,3.40725004e-01
53219.01805556,1.47332072,2.28448440,-0.88639597,2.57646904e+04,1.85975037e+04,6.01234674e+03,1.25922179e+03,3.55706155e+02,9.80889574e+01,3.01201511e+01,7.58595020e+00,1.75330008e+00,3.40725004e-01
53219.01875000,1.46470178,2.32443150,-0.87796145,2.69571457e+04,1.95087090e+04,6.34386444e+03,1.33839583e+03,3.80192637e+02,1.05680853e+02,3.26828510e+01,8.31145048e+00,1.94752507e+00,3.82800004e-01
