# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpochSaa_Intg.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; SAA Shifted; Activity Level: Quiet
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.43837305e+04,1.90740381e+03,6.96712158e+02,2.28749634e+02,6.31224060e+01,6.31224060e+01,4.93204260e+00,4.93204260e+00,1.39242566e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.43837305e+04,1.90740381e+03,6.96712158e+02,2.28749634e+02,6.31224060e+01,6.31224060e+01,4.93204260e+00,4.93204260e+00,1.39242566e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.43837305e+04,1.90740381e+03,6.96712158e+02,2.28749634e+02,6.31224060e+01,6.31224060e+01,4.93204260e+00,4.93204260e+00,1.39242566e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.20640449e+04,1.61604810e+03,5.54798035e+02,1.76456940e+02,4.77292099e+01,4.77292099e+01,2.12525034e+00,2.12525034e+00,1.33876002e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,1.20640449e+04,1.61604810e+03,5.54798035e+02,1.76456940e+02,4.77292099e+01,4.77292099e+01,2.12525034e+00,2.12525034e+00,1.33876002e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.67132207e+04,2.17693359e+03,7.42266663e+02,2.26207657e+02,6.82382431e+01,6.82382431e+01,4.03850079e+00,4.03850079e+00,1.42014730e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.67132207e+04,2.17693359e+03,7.42266663e+02,2.26207657e+02,6.82382431e+01,6.82382431e+01,4.03850079e+00,4.03850079e+00,1.42014730e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.37036699e+04,1.64581543e+03,5.98192322e+02,1.62388687e+02,3.64573479e+01,3.64573479e+01,4.10414648e+00,4.10414648e+00,1.36524165e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.37036699e+04,1.64581543e+03,5.98192322e+02,1.62388687e+02,3.64573479e+01,3.64573479e+01,4.10414648e+00,4.10414648e+00,1.36524165e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.37036699e+04,1.64581543e+03,5.98192322e+02,1.62388687e+02,3.64573479e+01,3.64573479e+01,4.10414648e+00,4.10414648e+00,1.36524165e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,1.37036699e+04,1.64581543e+03,5.98192322e+02,1.62388687e+02,3.64573479e+01,3.64573479e+01,4.10414648e+00,4.10414648e+00,1.36524165e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,1.71660742e+04,2.07112378e+03,7.42850647e+02,2.01829666e+02,4.75422020e+01,4.75422020e+01,5.23588848e+00,5.12262678e+00,1.42043364e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.71660742e+04,2.07112378e+03,7.42850647e+02,2.01829666e+02,4.75422020e+01,4.75422020e+01,5.23588848e+00,5.12262678e+00,1.42043364e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.41639707e+04,1.64959314e+03,5.84960876e+02,1.64980499e+02,3.72722702e+01,3.72722702e+01,4.05478859e+00,4.03745270e+00,9.06431973e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.41639707e+04,1.64959314e+03,5.84960876e+02,1.64980499e+02,3.72722702e+01,3.72722702e+01,4.05478859e+00,4.03745270e+00,9.06431973e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,2.08095820e+04,2.38631763e+03,8.37675537e+02,2.24156693e+02,5.46352844e+01,5.46352844e+01,5.17775440e+00,5.08263350e+00,1.10315359e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,2.08095820e+04,2.38631763e+03,8.37675537e+02,2.24156693e+02,5.46352844e+01,5.46352844e+01,5.17775440e+00,5.08263350e+00,1.10315359e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,2.08095820e+04,2.38631763e+03,8.37675537e+02,2.24156693e+02,5.46352844e+01,5.46352844e+01,5.17775440e+00,5.08263350e+00,1.10315359e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,1.70413398e+04,1.90183008e+03,6.19136841e+02,1.47615433e+02,2.75844555e+01,2.75844555e+01,3.44361591e+00,3.44361591e+00,8.62617612e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,1.70413398e+04,1.90183008e+03,6.19136841e+02,1.47615433e+02,2.75844555e+01,2.75844555e+01,3.44361591e+00,3.44361591e+00,8.62617612e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,1.70413398e+04,1.90183008e+03,6.19136841e+02,1.47615433e+02,2.75844555e+01,2.75844555e+01,3.44361591e+00,3.44361591e+00,8.62617612e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,2.42662637e+04,2.65814136e+03,8.76594604e+02,2.16194275e+02,4.41345940e+01,4.41345940e+01,5.10960674e+00,4.74058437e+00,1.14511526e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,2.42662637e+04,2.65814136e+03,8.76594604e+02,2.16194275e+02,4.41345940e+01,4.41345940e+01,5.10960674e+00,4.74058437e+00,1.14511526e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,2.42662637e+04,2.65814136e+03,8.76594604e+02,2.16194275e+02,4.41345940e+01,4.41345940e+01,5.10960674e+00,4.74058437e+00,1.14511526e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,1.99826953e+04,2.02900940e+03,7.08012390e+02,1.87393341e+02,3.76227379e+01,3.76227379e+01,4.18232203e+00,4.05638647e+00,9.36171234e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,1.99826953e+04,2.02900940e+03,7.08012390e+02,1.87393341e+02,3.76227379e+01,3.76227379e+01,4.18232203e+00,4.05638647e+00,9.36171234e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
