# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,5.84179760e+04,6.03749964e+05,4.49062473e+05,8.47265360e+04,2.54589578e+04,8.15915953e+03,3.41675969e+03,5.79539950e+02,1.59299988e+02,1.71599987e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,1.39130882e+05,1.24031251e+06,9.35156260e+05,1.79589814e+05,5.28222295e+04,1.64868000e+04,6.92138991e+03,1.14488997e+03,3.17789999e+02,3.38100001e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,2.42138694e+05,1.90968747e+06,1.45828122e+06,2.84589806e+05,8.20898074e+04,2.49829191e+04,1.05138897e+04,1.69604991e+03,4.75469987e+02,4.99499997e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,3.47959023e+05,2.60015628e+06,2.00250002e+06,3.94394496e+05,1.12836871e+05,3.39551098e+04,1.43243100e+04,2.28566994e+03,6.46080002e+02,6.76800017e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,4.93564492e+05,3.36093747e+06,2.63531248e+06,5.16855418e+05,1.46938409e+05,4.35937792e+04,1.83892498e+04,2.89817988e+03,8.26889990e+02,8.64300009e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,6.76142648e+05,4.17093754e+06,3.33562504e+06,6.47167929e+05,1.82914953e+05,5.34228601e+04,2.24907903e+04,3.49511991e+03,1.00497001e+03,1.04610003e+02
53219.00486111,1.55471104,1.41701626,-0.99589999,8.58720774e+05,4.98093749e+06,4.03593749e+06,7.77480420e+05,2.18891492e+05,6.32519395e+04,2.65923302e+04,4.09205984e+03,1.18304999e+03,1.22790002e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,1.04129893e+06,5.79093756e+06,4.73625005e+06,9.07792932e+05,2.54868036e+05,7.30810205e+04,3.06938707e+04,4.68899987e+03,1.36113001e+03,1.40970004e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,1.22387706e+06,6.60093750e+06,5.43656250e+06,1.03810542e+06,2.90844575e+05,8.29100999e+04,3.47954105e+04,5.28593981e+03,1.53921000e+03,1.59150003e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,1.46282236e+06,7.57406244e+06,6.14062496e+06,1.17615230e+06,3.30219572e+05,9.33251393e+04,3.90617704e+04,5.89247976e+03,1.71923999e+03,1.78110003e+02
53219.00763889,1.55319249,1.61750188,-0.98263373,1.75813488e+06,8.71031253e+06,6.84843751e+06,1.32193359e+06,3.72993034e+05,1.04326140e+05,4.34929508e+04,6.50861982e+03,1.90122001e+03,1.97850004e+02
53219.00833333,1.55128673,1.66608598,-0.97834803,2.05344737e+06,9.84656246e+06,7.55624997e+06,1.46771486e+06,4.15766491e+05,1.15327139e+05,4.79241306e+04,7.12475980e+03,2.08320000e+03,2.17590003e+02
53219.00902778,1.54881514,1.71406234,-0.97370527,2.34875989e+06,1.09828125e+07,8.26406252e+06,1.61349615e+06,4.58539953e+05,1.26328140e+05,5.23553110e+04,7.74089986e+03,2.26518002e+03,2.37330005e+02
53219.00972222,1.54579812,1.76143505,-0.96871939,2.65157237e+06,1.21518750e+07,8.99812498e+06,1.76548835e+06,5.03305590e+05,1.37900429e+05,5.70391508e+04,8.39687983e+03,2.46087001e+03,2.58870003e+02
53219.01041667,1.54225483,1.80820850,-0.96340360,3.03805679e+06,1.33987501e+07,9.85453130e+06,1.92720712e+06,5.52114184e+05,1.50322319e+05,6.19719913e+04,9.07574989e+03,2.65884002e+03,2.81850005e+02
53219.01111111,1.53820426,1.85438693,-0.95777059,3.50071304e+06,1.46906250e+07,1.08070312e+07,2.09244146e+06,6.02973541e+05,1.63022518e+05,6.69011709e+04,9.73766985e+03,2.84538000e+03,3.04470002e+02
53219.01180556,1.53366367,1.89997504,-0.95183246,3.96336935e+06,1.59825001e+07,1.17595313e+07,2.25767584e+06,6.53832906e+05,1.75722719e+05,7.18303514e+04,1.03995899e+04,3.03192001e+03,3.27090004e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,4.42602560e+06,1.72743750e+07,1.27120312e+07,2.42291019e+06,7.04692263e+05,1.88422918e+05,7.67595310e+04,1.10615099e+04,3.21846000e+03,3.49710002e+02
53219.01319444,1.52318025,1.98939854,-0.93908636,4.88868185e+06,1.85662499e+07,1.36645312e+07,2.58814454e+06,7.55551621e+05,2.01123117e+05,8.16887107e+04,1.17234299e+04,3.40499998e+03,3.72330000e+02
53219.01388889,1.51726880,2.03324350,-0.93229988,5.45235378e+06,1.99312500e+07,1.46292188e+07,2.76662112e+06,8.10131705e+05,2.14687588e+05,8.68229710e+04,1.24146599e+04,3.58685999e+03,3.96090001e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,6.11704124e+06,2.13693749e+07,1.56060937e+07,2.95833989e+06,8.68432500e+05,2.29116328e+05,9.21623105e+04,1.31351999e+04,3.76403997e+03,4.20989998e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,6.78172880e+06,2.28075001e+07,1.65829688e+07,3.15005868e+06,9.26733304e+05,2.43545069e+05,9.75016508e+04,1.38557400e+04,3.94121998e+03,4.45890000e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,7.44641626e+06,2.42456250e+07,1.75598437e+07,3.34177745e+06,9.85034100e+05,2.57973809e+05,1.02840990e+05,1.45762800e+04,4.11839996e+03,4.70789997e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,8.11110381e+06,2.56837501e+07,1.85367188e+07,3.53349624e+06,1.04333490e+06,2.72402551e+05,1.08180330e+05,1.52968200e+04,4.29557997e+03,4.95689999e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,8.95157251e+06,2.74115625e+07,1.95660937e+07,3.73376969e+06,1.10359857e+06,2.87146230e+05,1.13516010e+05,1.60141500e+04,4.45982996e+03,5.20529997e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,9.98657259e+06,2.94703126e+07,2.06760938e+07,3.94880878e+06,1.16781732e+06,3.02746832e+05,1.19060431e+05,1.67598601e+04,4.61891998e+03,5.46839999e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,1.10403225e+07,3.15703125e+07,2.18142188e+07,4.17005876e+06,1.23402828e+06,3.18889411e+05,1.24817250e+05,1.75371600e+04,4.78577997e+03,5.74679998e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,1.20940724e+07,3.36703124e+07,2.29523437e+07,4.39130875e+06,1.30023923e+06,3.35031989e+05,1.30574069e+05,1.83144599e+04,4.95263995e+03,6.02519997e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,1.31478225e+07,3.57703125e+07,2.40904688e+07,4.61255877e+06,1.36645020e+06,3.51174571e+05,1.36330890e+05,1.90917600e+04,5.11949997e+03,6.30360000e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,1.42015725e+07,3.78703124e+07,2.52285937e+07,4.83380875e+06,1.43266115e+06,3.67317149e+05,1.42087709e+05,1.98690599e+04,5.28635996e+03,6.58199999e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,1.55290726e+07,4.01146876e+07,2.63901563e+07,5.06326191e+06,1.50045414e+06,3.84045661e+05,1.47829890e+05,2.06577899e+04,5.44004996e+03,6.85980001e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,1.71612600e+07,4.25559374e+07,2.76079687e+07,5.30841817e+06,1.57223147e+06,4.02019290e+05,1.53795479e+05,2.14964099e+04,5.58836995e+03,7.15559999e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,1.88243851e+07,4.50496876e+07,2.88585938e+07,5.56107447e+06,1.64641116e+06,4.20652111e+05,1.59999120e+05,2.23734900e+04,5.74448997e+03,7.46999999e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,2.04875100e+07,4.75434375e+07,3.01092187e+07,5.81373073e+06,1.72059084e+06,4.39284930e+05,1.66202760e+05,2.32505699e+04,5.90060996e+03,7.78439996e+02
