# Legacy Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Diff.CRRESPRO.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Quiet
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,1.82370820e+04,3.62854663e+03,1.46168884e+03,4.75050812e+02,1.13879738e+02,3.27939072e+01,2.73577005e-01,2.22386193e+00,1.07016897e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.82370820e+04,3.62854663e+03,1.46168884e+03,4.75050812e+02,1.13879738e+02,3.27939072e+01,2.73577005e-01,2.22386193e+00,1.07016897e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.55954082e+04,3.02672900e+03,1.16990625e+03,4.14068054e+02,9.82524643e+01,2.42459850e+01,0.00000000e+00,1.96645403e+00,8.70266020e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,1.55954082e+04,3.02672900e+03,1.16990625e+03,4.14068054e+02,9.82524643e+01,2.42459850e+01,0.00000000e+00,1.96645403e+00,8.70266020e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,2.17966992e+04,4.25754297e+03,1.67275745e+03,5.75751648e+02,1.27821739e+02,2.98251648e+01,0.00000000e+00,2.48105788e+00,9.86594021e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,1.81703594e+04,3.58666699e+03,1.29014746e+03,3.94923523e+02,1.01012611e+02,2.67498932e+01,0.00000000e+00,1.45464098e+00,8.87592018e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,1.81703594e+04,3.58666699e+03,1.29014746e+03,3.94923523e+02,1.01012611e+02,2.67498932e+01,0.00000000e+00,1.45464098e+00,8.87592018e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,1.81703594e+04,3.58666699e+03,1.29014746e+03,3.94923523e+02,1.01012611e+02,2.67498932e+01,0.00000000e+00,1.45464098e+00,8.87592018e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,1.81703594e+04,3.58666699e+03,1.29014746e+03,3.94923523e+02,1.01012611e+02,2.67498932e+01,0.00000000e+00,1.45464098e+00,8.87592018e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,1.81703594e+04,3.58666699e+03,1.29014746e+03,3.94923523e+02,1.01012611e+02,2.67498932e+01,0.00000000e+00,1.45464098e+00,8.87592018e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
