# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,5.02758149e+05,4.17066254e+05,1.50370966e+05,3.23866098e+04,1.03495103e+04,3.62588682e+03,1.31070293e+03,3.95534974e+02,9.60164972e+01,1.41569987e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,1.04535531e+06,8.65968328e+05,3.13980056e+05,6.76519515e+04,2.11695423e+04,7.30773619e+03,2.62609806e+03,7.83863996e+02,1.90847255e+02,2.78932496e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,1.62779134e+06,1.34670609e+06,4.90827225e+05,1.05796015e+05,3.24600929e+04,1.10455471e+04,3.94618502e+03,1.16498695e+03,2.84492245e+02,4.12087487e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,2.23201231e+06,1.84609990e+06,6.75256169e+05,1.45814792e+05,4.43685195e+04,1.50101226e+04,5.35423821e+03,1.57510798e+03,3.86256004e+02,5.58360005e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,2.92157507e+06,2.41508405e+06,8.86420040e+05,1.90103671e+05,5.73449050e+04,1.92384663e+04,6.84186018e+03,2.00473795e+03,4.94037751e+02,7.13047502e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,3.67469497e+06,3.03500278e+06,1.11673716e+06,2.36787959e+05,7.07713793e+04,2.35038156e+04,8.32108539e+03,2.42487898e+03,5.99718765e+02,8.63032522e+01
53219.00486111,1.55471104,1.41701626,-0.99589999,4.42781475e+06,3.65492140e+06,1.34705424e+06,2.83472240e+05,8.41978515e+04,2.77691642e+04,9.80031037e+03,2.84501995e+03,7.05399763e+02,1.01301752e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,5.18093464e+06,4.27484013e+06,1.57737135e+06,3.30156528e+05,9.76243258e+04,3.20345135e+04,1.12795356e+04,3.26516098e+03,8.11080777e+02,1.16300254e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,5.93405442e+06,4.89475875e+06,1.80768843e+06,3.76840809e+05,1.11050798e+05,3.62998621e+04,1.27587606e+04,3.68530195e+03,9.16761774e+02,1.31298754e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,6.75688065e+06,5.55412895e+06,2.04361334e+06,4.26742287e+05,1.25467899e+05,4.07589552e+04,1.42815740e+04,4.11222743e+03,1.02455852e+03,1.46940753e+02
53219.00763889,1.55319249,1.61750188,-0.98263373,7.64941345e+06,6.25295079e+06,2.28514609e+06,4.79860970e+05,1.40875630e+05,4.54117934e+04,1.58479762e+04,4.54593747e+03,1.13447103e+03,1.63226254e+02
53219.00833333,1.55128673,1.66608598,-0.97834803,8.54194613e+06,6.95177254e+06,2.52667881e+06,5.32979645e+05,1.56283358e+05,5.00646309e+04,1.74143781e+04,4.97964746e+03,1.24438353e+03,1.79511753e+02
53219.00902778,1.54881514,1.71406234,-0.97370527,9.43447893e+06,7.65059439e+06,2.76821157e+06,5.86098327e+05,1.71691089e+05,5.47174691e+04,1.89807802e+04,5.41335750e+03,1.35429604e+03,1.95797255e+02
53219.00972222,1.54579812,1.76143505,-0.96871939,1.03570830e+07,8.37407347e+06,3.01930786e+06,6.41632135e+05,1.87873329e+05,5.96321242e+04,2.06442097e+04,5.87762699e+03,1.47300529e+03,2.13567753e+02
53219.01041667,1.54225483,1.80820850,-0.96340360,1.13928778e+07,9.18637408e+06,3.30390139e+06,7.01190503e+05,2.05326228e+05,6.48389262e+04,2.23800653e+04,6.35536653e+03,1.59505955e+03,2.32526254e+02
53219.01111111,1.53820426,1.85438693,-0.95777059,1.25117916e+07,1.00628387e+07,3.61242850e+06,7.62358282e+05,2.23275269e+05,7.00760560e+04,2.40913191e+04,6.81601651e+03,1.71166204e+03,2.51187752e+02
53219.01180556,1.53366367,1.89997504,-0.95183246,1.36307056e+07,1.09393034e+07,3.92095566e+06,8.23526071e+05,2.41224313e+05,7.53131867e+04,2.58025732e+04,7.27666655e+03,1.82826455e+03,2.69849252e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,1.47496195e+07,1.18157680e+07,4.22948278e+06,8.84693851e+05,2.59173354e+05,8.05503166e+04,2.75138270e+04,7.73731653e+03,1.94486704e+03,2.88510750e+02
53219.01319444,1.52318025,1.98939854,-0.93908636,1.58685333e+07,1.26922326e+07,4.53800989e+06,9.45861631e+05,2.77122395e+05,8.57874465e+04,2.92250808e+04,8.19796651e+03,2.06146953e+03,3.07172248e+02
53219.01388889,1.51726880,2.03324350,-0.93229988,1.70428281e+07,1.35972597e+07,4.85651351e+06,1.01161524e+06,2.96264674e+05,9.13008140e+04,3.09987020e+04,8.66824356e+03,2.17796404e+03,3.26774248e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,1.82725035e+07,1.45308491e+07,5.18499355e+06,1.08195467e+06,3.16600185e+05,9.70904177e+04,3.28346899e+04,9.14814756e+03,2.29435053e+03,3.47316746e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,1.95021790e+07,1.54644386e+07,5.51347362e+06,1.15229410e+06,3.36935700e+05,1.02880022e+05,3.46706781e+04,9.62805161e+03,2.41073704e+03,3.67859247e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,2.07318544e+07,1.63980280e+07,5.84195366e+06,1.22263353e+06,3.57271211e+05,1.08669626e+05,3.65066660e+04,1.01079556e+04,2.52712353e+03,3.88401745e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,2.19615299e+07,1.73316175e+07,6.17043374e+06,1.29297296e+06,3.77606726e+05,1.14459230e+05,3.83426542e+04,1.05878597e+04,2.64351003e+03,4.08944246e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,2.33493083e+07,1.83563373e+07,6.51504414e+06,1.36591933e+06,3.98445665e+05,1.20296701e+05,4.01642527e+04,1.10553902e+04,2.75430228e+03,4.29437245e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,2.49309635e+07,1.94995237e+07,6.88573051e+06,1.44384786e+06,4.20522631e+05,1.26409796e+05,4.20483429e+04,1.15323122e+04,2.86532704e+03,4.51142997e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,2.65483921e+07,2.06700462e+07,7.26636235e+06,1.52415161e+06,4.43334188e+05,1.32750646e+05,4.40093138e+04,1.20309992e+04,2.98217854e+03,4.74110996e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,2.81658207e+07,2.18405687e+07,7.64699419e+06,1.60445535e+06,4.66145744e+05,1.39091497e+05,4.59702847e+04,1.25296862e+04,3.09903003e+03,4.97078994e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,2.97832496e+07,2.30110913e+07,8.02762609e+06,1.68475911e+06,4.88957305e+05,1.45432349e+05,4.79312560e+04,1.30283733e+04,3.21588155e+03,5.20046996e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,3.14006783e+07,2.41816137e+07,8.40825793e+06,1.76506285e+06,5.11768861e+05,1.51773200e+05,4.98922269e+04,1.35270603e+04,3.33273304e+03,5.43014995e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,3.31299663e+07,2.53980424e+07,8.79830369e+06,1.84786641e+06,5.35123192e+05,1.58223232e+05,5.18481206e+04,1.40190258e+04,3.44388830e+03,5.65933497e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,3.50159970e+07,2.66932841e+07,9.20950638e+06,1.93603006e+06,5.59900122e+05,1.65049968e+05,5.38870135e+04,1.45293528e+04,3.55573129e+03,5.90336994e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,3.69469116e+07,2.80214332e+07,9.63245224e+06,2.02705402e+06,5.85556888e+05,1.72144231e+05,5.60139837e+04,1.50647629e+04,3.67395830e+03,6.16274995e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,3.88778259e+07,2.93495821e+07,1.00553980e+07,2.11807797e+06,6.11213650e+05,1.79238493e+05,5.81409536e+04,1.56001729e+04,3.79218529e+03,6.42212992e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,4.08087405e+07,3.06777312e+07,1.04783439e+07,2.20910193e+06,6.36870415e+05,1.86332756e+05,6.02679239e+04,1.61355830e+04,3.91041229e+03,6.68150992e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,4.27396549e+07,3.20058801e+07,1.09012897e+07,2.30012588e+06,6.62527177e+05,1.93427018e+05,6.23948938e+04,1.66709930e+04,4.02863928e+03,6.94088989e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,4.49425981e+07,3.34765188e+07,1.13418737e+07,2.39245207e+06,6.88689310e+05,2.00622354e+05,6.45028242e+04,1.71934055e+04,4.14184727e+03,7.19952737e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,4.74585380e+07,3.51182398e+07,1.18092820e+07,2.48823539e+06,7.16023409e+05,2.08119533e+05,6.66547829e+04,1.77199281e+04,4.25430378e+03,7.46855990e+02
