# Irene Model output file: ../../unitTests/Legacy/CRRquiet_NatEpoch_Intg.CRRESPRO.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESPRO
# Particle species:         H+
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Fixed Epoch; unshifted SAA; Activity Level: Quiet
# Energy levels (MeV):       1.5 2.1 2.5 2.9 3.6 4.3 5.7 6.8 8.5 9.7 10.7 13.2 16.9 19.4 26.3 30.9 36.3 41.1 47 55 65.7 81.3
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,1.01401857e+06,1.38638664e+05,5.15535504e+04,1.64730203e+04,5.07180191e+03,5.07180191e+03,3.49479111e+02,3.42913264e+02,1.02736217e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00138889,1.54095775,1.15238275,-1.00243596,1.95253987e+06,2.65180124e+05,9.82316954e+04,3.15720210e+04,9.50137554e+03,9.50137554e+03,6.72179979e+02,6.62331208e+02,1.95877105e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00208333,1.54525254,1.20656344,-1.00212801,2.81556364e+06,3.79624344e+05,1.40034422e+05,4.52969981e+04,1.32887196e+04,1.32887196e+04,9.68102515e+02,9.58253744e+02,2.79422638e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00277778,1.54874404,1.26011693,-1.00129850,3.85059778e+06,5.17247840e+05,1.90246646e+05,6.13972537e+04,1.75111378e+04,1.75111378e+04,1.29739746e+03,1.28754869e+03,3.68551930e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00347222,1.55146409,1.31304307,-0.99997002,4.95551645e+06,6.62957207e+05,2.41825498e+05,7.74212475e+04,2.18870305e+04,2.18870305e+04,1.59988610e+03,1.59003733e+03,4.58512856e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00416667,1.55344362,1.36534232,-0.99816377,5.95830978e+06,7.93573234e+05,2.86361501e+05,9.09937081e+04,2.59813254e+04,2.59813254e+04,1.84219617e+03,1.83234740e+03,5.43721701e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00486111,1.55471104,1.41701626,-0.99589999,6.96110295e+06,9.24189241e+05,3.30897498e+05,1.04566167e+05,3.00756197e+04,3.00756197e+04,2.08450620e+03,2.07465743e+03,6.28930533e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,7.96389628e+06,1.05480527e+06,3.75433502e+05,1.18138627e+05,3.41699147e+04,3.41699147e+04,2.32681626e+03,2.31696749e+03,7.14139379e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,8.96668945e+06,1.18542127e+06,4.19969498e+05,1.31711086e+05,3.82642090e+04,3.82642090e+04,2.56912629e+03,2.55927752e+03,7.99348211e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,9.98306824e+06,1.31286299e+06,4.64523015e+05,1.44552205e+05,4.17376221e+04,4.17376221e+04,2.84735796e+03,2.83411133e+03,8.84565634e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,1.10130328e+07,1.43713042e+06,5.09094057e+05,1.56661985e+05,4.45901544e+04,4.45901544e+04,3.16151129e+03,3.14146897e+03,9.69791659e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00833333,1.55128673,1.66608598,-0.97834803,1.20429972e+07,1.56139784e+06,5.53665093e+05,1.68771765e+05,4.74426864e+04,4.74426864e+04,3.47566458e+03,3.44882655e+03,1.05501767e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00902778,1.54881514,1.71406234,-0.97370527,1.30729617e+07,1.68566528e+06,5.98236135e+05,1.80881546e+05,5.02952187e+04,5.02952187e+04,3.78981791e+03,3.75618418e+03,1.14024370e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00972222,1.54579812,1.76143505,-0.96871939,1.43476776e+07,1.83956534e+06,6.52480312e+05,1.95615582e+05,5.39718835e+04,5.39718835e+04,4.15159533e+03,4.09591960e+03,1.22574384e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01041667,1.54225483,1.80820850,-0.96340360,1.57316988e+07,2.00292123e+06,7.09569244e+05,2.11019431e+05,5.78613413e+04,5.78613413e+04,4.51162877e+03,4.43445525e+03,1.30172559e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01111111,1.53820426,1.85438693,-0.95777059,1.69802737e+07,2.14610028e+06,7.59829773e+05,2.24468831e+05,6.11394581e+04,6.11394581e+04,4.82229402e+03,4.73941324e+03,1.36791480e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01180556,1.53366367,1.89997504,-0.95183246,1.82288487e+07,2.28927935e+06,8.10090309e+05,2.37918234e+05,6.44175755e+04,6.44175755e+04,5.13295931e+03,5.04437128e+03,1.43410402e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01250000,1.52865033,1.94497724,-0.94560083,1.94774235e+07,2.43245840e+06,8.60350838e+05,2.51367635e+05,6.76956923e+04,6.76956923e+04,5.44362455e+03,5.34932927e+03,1.50029323e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01319444,1.52318025,1.98939854,-0.93908636,2.07259984e+07,2.57563744e+06,9.10611367e+05,2.64817035e+05,7.09738092e+04,7.09738092e+04,5.75428980e+03,5.65428726e+03,1.56648244e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01388889,1.51726880,2.03324350,-0.93229988,2.20782739e+07,2.72697123e+06,9.62039475e+05,2.78027565e+05,7.39369058e+04,7.39369058e+04,6.06291065e+03,5.94898382e+03,1.63393051e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01458333,1.51093106,2.07651714,-0.92525113,2.35342496e+07,2.88645970e+06,1.01463515e+06,2.90999221e+05,7.65849812e+04,7.65849812e+04,6.36948704e+03,6.23341886e+03,1.70263743e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01527778,1.50418085,2.11922432,-0.91794984,2.49902255e+07,3.04594819e+06,1.06723083e+06,3.03970879e+05,7.92330571e+04,7.92330571e+04,6.67606347e+03,6.51785395e+03,1.77134435e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01597222,1.49703211,2.16136976,-0.91040510,2.64462013e+07,3.20543666e+06,1.11982650e+06,3.16942534e+05,8.18811326e+04,8.18811326e+04,6.98263985e+03,6.80228899e+03,1.84005126e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01666667,1.48949758,2.20295831,-0.90262557,2.79021772e+07,3.36492516e+06,1.17242218e+06,3.29914192e+05,8.45292084e+04,8.45292084e+04,7.28921628e+03,7.08672408e+03,1.90875818e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01736111,1.48158981,2.24399485,-0.89462001,2.92296459e+07,3.50553967e+06,1.21996039e+06,3.42021820e+05,8.69819282e+04,8.69819282e+04,7.56797413e+03,7.35063319e+03,1.97119677e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01805556,1.47332072,2.28448440,-0.88639597,3.06445128e+07,3.64889604e+06,1.26936990e+06,3.55053657e+05,8.97199822e+04,8.97199822e+04,7.84987622e+03,7.61919393e+03,2.03277209e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01875000,1.46470178,2.32443150,-0.87796145,3.22752847e+07,3.81386818e+06,1.32570817e+06,3.69873727e+05,9.29387253e+04,9.29387253e+04,8.16274102e+03,7.91293216e+03,2.09975244e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.01944444,1.45574413,2.36384103,-0.86932383,3.39060566e+07,3.97884033e+06,1.38204644e+06,3.84693797e+05,9.61574683e+04,9.61574683e+04,8.47560582e+03,8.20667039e+03,2.16673278e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02013889,1.44645844,2.40271786,-0.86049017,3.55368287e+07,4.14381249e+06,1.43838471e+06,3.99513870e+05,9.93762119e+04,9.93762119e+04,8.78847066e+03,8.50040867e+03,2.23371314e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02083333,1.43685460,2.44106636,-0.85146738,3.71676006e+07,4.30878464e+06,1.49472298e+06,4.14333941e+05,1.02594955e+05,1.02594955e+05,9.10133546e+03,8.79414690e+03,2.30069349e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02152778,1.42694265,2.47889157,-0.84226174,3.86527611e+07,4.45717745e+06,1.54494878e+06,4.27217998e+05,1.05500121e+05,1.05500121e+05,9.35932898e+03,9.03579229e+03,2.35451762e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02222222,1.41673201,2.51619773,-0.83287968,4.03462989e+07,4.62273863e+06,1.59969505e+06,4.40600351e+05,1.08603555e+05,1.08603555e+05,9.62055173e+03,9.27374744e+03,2.40651732e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02291667,1.40623164,2.55298955,-0.82332732,4.23938260e+07,4.82204757e+06,1.66507426e+06,4.56417017e+05,1.12218836e+05,1.12218836e+05,9.93987511e+03,9.56010531e+03,2.46984881e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02361111,1.39545046,2.58927141,-0.81361047,4.44413528e+07,5.02135648e+06,1.73045347e+06,4.72233681e+05,1.15834116e+05,1.15834116e+05,1.02591984e+04,9.84646313e+03,2.53318030e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02430556,1.38439666,2.62504771,-0.80373478,4.64888799e+07,5.22066542e+06,1.79583269e+06,4.88050347e+05,1.19449396e+05,1.19449396e+05,1.05785218e+04,1.01328210e+04,2.59651179e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02500000,1.37307870,2.66032286,-0.79370542,4.85364067e+07,5.41997434e+06,1.86121190e+06,5.03867011e+05,1.23064677e+05,1.23064677e+05,1.08978451e+04,1.04191788e+04,2.65984328e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02569444,1.36150411,2.69510108,-0.78352791,5.03969434e+07,5.59632608e+06,1.91867969e+06,5.17499178e+05,1.26099842e+05,1.26099842e+05,1.11954017e+04,1.06906843e+04,2.72244963e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02638889,1.34968075,2.72938677,-0.77320693,5.22783379e+07,5.76857649e+06,1.97389840e+06,5.30254285e+05,1.28924531e+05,1.28924531e+05,1.14942799e+04,1.09675840e+04,2.78922627e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02708333,1.33761568,2.76318386,-0.76274752,5.43675798e+07,5.95968269e+06,2.03477943e+06,5.44316827e+05,1.32118857e+05,1.32118857e+05,1.18162464e+04,1.12647301e+04,2.86089833e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02777778,1.32531611,2.79649642,-0.75215438,5.64568219e+07,6.15078892e+06,2.09566048e+06,5.58379371e+05,1.35313184e+05,1.35313184e+05,1.21382129e+04,1.15618763e+04,2.93257041e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02847222,1.31278896,2.82932870,-0.74143207,5.85460637e+07,6.34189512e+06,2.15654152e+06,5.72441914e+05,1.38507510e+05,1.38507510e+05,1.24601794e+04,1.18590224e+04,3.00424247e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02916667,1.30004065,2.86168446,-0.73058466,6.06353058e+07,6.53300134e+06,2.21742256e+06,5.86504458e+05,1.41701837e+05,1.41701837e+05,1.27821459e+04,1.21561686e+04,3.07591454e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.02986111,1.28707747,2.89356762,-0.71961671,6.25385338e+07,6.70390172e+06,2.27093955e+06,5.98512849e+05,1.44410515e+05,1.44410515e+05,1.31134353e+04,1.24661045e+04,3.14983108e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03055556,1.27390601,2.92498195,-0.70853199,6.42557481e+07,6.85459631e+06,2.31709251e+06,6.08467091e+05,1.46633547e+05,1.46633547e+05,1.34540475e+04,1.27888302e+04,3.22599211e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.03125000,1.26053177,2.95593122,-0.69733473,6.64607315e+07,7.04760305e+06,2.37605341e+06,6.21403225e+05,1.49428354e+05,1.49428354e+05,1.38182109e+04,1.31279237e+04,3.30334022e+03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
