# Irene Model output file: ../../unitTests/Legacy/CRRquiet_atEpoch_Diff.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2/MeV)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.33447168e+04,5.84999965e+05,3.95156226e+05,7.69335856e+04,2.39794782e+04,7.99802941e+03,3.27941976e+03,5.90969959e+02,1.59749992e+02,1.79099991e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,1.01762701e+05,1.18875001e+06,8.44218761e+05,1.61660133e+05,4.94384395e+04,1.61571901e+04,6.69617991e+03,1.17050999e+03,3.19050001e+02,3.50700001e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,1.61733416e+05,1.81171872e+06,1.31109373e+06,2.50253877e+05,7.61718272e+04,2.47777793e+04,1.03198495e+04,1.79033995e+03,4.91279988e+02,5.39399984e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,2.23256880e+05,2.45390627e+06,1.79578127e+06,3.42714844e+05,1.04179649e+05,3.38597997e+04,1.41504297e+04,2.45046003e+03,6.76440003e+02,7.45199998e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,3.08335013e+05,3.13078123e+06,2.32078123e+06,4.46249996e+05,1.34296827e+05,4.31249389e+04,1.80798893e+04,3.09455999e+03,8.60789989e+02,9.44699983e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,4.16967843e+05,3.84234379e+06,2.88609378e+06,5.60859367e+05,1.66523371e+05,5.25731998e+04,2.21082296e+04,3.72264002e+03,1.04433001e+03,1.13790000e+02
53219.00486111,1.55471104,1.41701626,-0.99589999,5.25600655e+05,4.55390624e+06,3.45140624e+06,6.75468720e+05,1.98749910e+05,6.20214592e+04,2.61365693e+04,4.35071995e+03,1.22786999e+03,1.33110000e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,6.34233484e+05,5.26546880e+06,4.01671879e+06,7.90078091e+05,2.30976454e+05,7.14697201e+04,3.01649097e+04,4.97879998e+03,1.41141001e+03,1.52430002e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,7.83120203e+05,6.04265625e+06,4.66734375e+06,9.16289012e+05,2.66220572e+05,8.14526394e+04,3.43836594e+04,5.61692993e+03,1.60104000e+03,1.72260000e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,9.72260831e+05,6.88546870e+06,5.40328120e+06,1.05410150e+06,3.04482271e+05,9.19702187e+04,3.87928191e+04,6.26510990e+03,1.79675998e+03,1.92599998e+02
53219.00763889,1.55319249,1.61750188,-0.98263373,1.16140148e+06,7.72828126e+06,6.13921876e+06,1.19191401e+06,3.42743975e+05,1.02487799e+05,4.32019795e+04,6.91328995e+03,1.99247999e+03,2.12939999e+02
53219.00833333,1.55128673,1.66608598,-0.97834803,1.35054211e+06,8.57109371e+06,6.87515622e+06,1.32972651e+06,3.81005673e+05,1.13005379e+05,4.76111392e+04,7.56146992e+03,2.18819997e+03,2.33279998e+02
53219.00902778,1.54881514,1.71406234,-0.97370527,1.54437027e+06,9.43781253e+06,7.63828127e+06,1.47328120e+06,4.21025197e+05,1.24064940e+05,5.22729896e+04,8.25176996e+03,2.39867999e+03,2.55479999e+02
53219.00972222,1.54579812,1.76143505,-0.96871939,1.79878432e+06,1.04840625e+07,8.41359373e+06,1.62703119e+06,4.65292774e+05,1.35937499e+05,5.71985094e+04,8.96588990e+03,2.61599997e+03,2.79179997e+02
53219.01041667,1.54225483,1.80820850,-0.96340360,2.10909685e+06,1.16859376e+07,9.17390629e+06,1.78523434e+06,5.12050598e+05,1.48081079e+05,6.21350100e+04,9.66170996e+03,2.82539999e+03,3.02519999e+02
53219.01111111,1.53820426,1.85438693,-0.95777059,2.41940932e+06,1.28878125e+07,9.93421873e+06,1.94343747e+06,5.58808414e+05,1.60224658e+05,6.70715099e+04,1.03575299e+04,3.03479998e+03,3.25859997e+02
53219.01180556,1.53366367,1.89997504,-0.95183246,2.72972185e+06,1.40896876e+07,1.06945313e+07,2.10164062e+06,6.05566238e+05,1.72368239e+05,7.20080105e+04,1.10533500e+04,3.24420000e+03,3.49199998e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,3.04589372e+06,1.53178125e+07,1.14759375e+07,2.26476561e+06,6.53935384e+05,1.84973218e+05,7.71532503e+04,1.17825899e+04,3.46517998e+03,3.74129996e+02
53219.01319444,1.52318025,1.98939854,-0.93908636,3.44690933e+06,1.66199999e+07,1.23796874e+07,2.43656246e+06,7.06113120e+05,1.98347218e+05,8.25035701e+04,1.25264699e+04,3.68513997e+03,4.00229994e+02
53219.01388889,1.51726880,2.03324350,-0.93229988,3.92690937e+06,1.79700000e+07,1.33846875e+07,2.61210933e+06,7.60488125e+05,2.12028839e+05,8.78502305e+04,1.32515699e+04,3.89249998e+03,4.25909996e+02
53219.01458333,1.51093106,2.07651714,-0.92525113,4.40690934e+06,1.93199999e+07,1.43896875e+07,2.78765618e+06,8.14863121e+05,2.25710458e+05,9.31968902e+04,1.39766699e+04,4.09985997e+03,4.51589995e+02
53219.01527778,1.50418085,2.11922432,-0.91794984,4.88690938e+06,2.06700000e+07,1.53946875e+07,2.96320306e+06,8.69238126e+05,2.39392079e+05,9.85435507e+04,1.47017699e+04,4.30721999e+03,4.77269997e+02
53219.01597222,1.49703211,2.16136976,-0.91040510,5.36690935e+06,2.20200000e+07,1.63996875e+07,3.13874991e+06,9.23613122e+05,2.53073698e+05,1.03890210e+05,1.54268699e+04,4.51457998e+03,5.02949995e+02
53219.01666667,1.48949758,2.20295831,-0.90262557,5.95097189e+06,2.34440626e+07,1.74159376e+07,3.32800774e+06,9.81855307e+05,2.67648900e+05,1.09445611e+05,1.61817300e+04,4.71599999e+03,5.29799997e+02
53219.01736111,1.48158981,2.24399485,-0.89462001,6.63909685e+06,2.49421875e+07,1.84434375e+07,3.53097651e+06,1.04396466e+06,2.83117679e+05,1.15209751e+05,1.69663499e+04,4.91147997e+03,5.57819996e+02
53219.01805556,1.47332072,2.28448440,-0.88639597,7.32722191e+06,2.64403126e+07,1.94709376e+07,3.73394530e+06,1.10607403e+06,2.98586461e+05,1.20973891e+05,1.77509700e+04,5.10695998e+03,5.85839998e+02
53219.01875000,1.46470178,2.32443150,-0.87796145,8.01534686e+06,2.79384375e+07,2.04984375e+07,3.93691407e+06,1.16818339e+06,3.14055240e+05,1.26738031e+05,1.85355900e+04,5.30243996e+03,6.13859997e+02
53219.01944444,1.45574413,2.36384103,-0.86932383,8.70347182e+06,2.94365624e+07,2.15259374e+07,4.13988283e+06,1.23029274e+06,3.29524020e+05,1.32502170e+05,1.93202099e+04,5.49791994e+03,6.41879995e+02
53219.02013889,1.44645844,2.40271786,-0.86049017,9.57440939e+06,3.12356251e+07,2.26087500e+07,4.35199224e+06,1.29445291e+06,3.45329701e+05,1.38262651e+05,2.01011700e+04,5.67908995e+03,6.69809998e+02
53219.02083333,1.43685460,2.44106636,-0.85146738,1.06478468e+07,3.33806249e+07,2.37778124e+07,4.58015630e+06,1.36294902e+06,3.62087520e+05,1.44261180e+05,2.09155499e+04,5.85521994e+03,6.99509996e+02
53219.02152778,1.42694265,2.47889157,-0.84226174,1.17409719e+07,3.55706251e+07,2.49778125e+07,4.81523445e+06,1.43373031e+06,3.79460580e+05,1.50501421e+05,2.17670100e+04,6.04061996e+03,7.31069998e+02
53219.02222222,1.41673201,2.51619773,-0.83287968,1.28340968e+07,3.77606249e+07,2.61778125e+07,5.05031258e+06,1.50451158e+06,3.96833639e+05,1.56741661e+05,2.26184699e+04,6.22601994e+03,7.62629995e+02
53219.02291667,1.40623164,2.55298955,-0.82332732,1.39272219e+07,3.99506251e+07,2.73778126e+07,5.28539074e+06,1.57529286e+06,4.14206699e+05,1.62981902e+05,2.34699300e+04,6.41141996e+03,7.94189997e+02
53219.02361111,1.39545046,2.58927141,-0.81361047,1.50203469e+07,4.21406250e+07,2.85778125e+07,5.52046886e+06,1.64607414e+06,4.31579758e+05,1.69222141e+05,2.43213899e+04,6.59681995e+03,8.25749995e+02
53219.02430556,1.38439666,2.62504771,-0.80373478,1.63984720e+07,4.44825002e+07,2.98031251e+07,5.76433609e+06,1.71855462e+06,4.49582699e+05,1.75444082e+05,2.51856600e+04,6.76757996e+03,8.57249996e+02
53219.02500000,1.37307870,2.66032286,-0.79370542,1.80831594e+07,4.70137500e+07,3.10771875e+07,6.02214860e+06,1.79443353e+06,4.68698907e+05,1.81823492e+05,2.60901899e+04,6.92939996e+03,8.90009994e+02
53219.02569444,1.36150411,2.69510108,-0.78352791,1.97894092e+07,4.95824998e+07,3.23746874e+07,6.28511736e+06,1.87201166e+06,4.88298507e+05,1.88378671e+05,2.70221699e+04,7.09691995e+03,9.24089992e+02
53219.02638889,1.34968075,2.72938677,-0.77320693,2.14956594e+07,5.21512501e+07,3.36721875e+07,6.54808616e+06,1.94958981e+06,5.07898109e+05,1.94933851e+05,2.79541499e+04,7.26443997e+03,9.58169996e+02
53219.02708333,1.33761568,2.76318386,-0.76274752,2.32019093e+07,5.47199999e+07,3.49696874e+07,6.81105492e+06,2.02716794e+06,5.27497708e+05,2.01489031e+05,2.88861299e+04,7.43195996e+03,9.92249995e+02
53219.02777778,1.32531611,2.79649642,-0.75215438,2.52944095e+07,5.78156251e+07,3.63403126e+07,7.07707059e+06,2.10626952e+06,5.47741860e+05,2.08029571e+05,2.98098900e+04,7.58711998e+03,1.02627000e+03
53219.02847222,1.31278896,2.82932870,-0.74143207,2.77731593e+07,6.14381249e+07,3.77840625e+07,7.34613307e+06,2.18689451e+06,5.68630559e+05,2.14555470e+05,3.07254299e+04,7.72991996e+03,1.06023000e+03
53219.02916667,1.30004065,2.86168446,-0.73058466,3.02519095e+07,6.50606252e+07,3.92278126e+07,7.61519559e+06,2.26751952e+06,5.89519261e+05,2.21081371e+05,3.16409699e+04,7.87271997e+03,1.09419000e+03
53219.02986111,1.28707747,2.89356762,-0.71961671,3.27737843e+07,6.87543749e+07,4.07081250e+07,7.89199246e+06,2.35066404e+06,6.11140380e+05,2.27856270e+05,3.25967999e+04,8.02286996e+03,1.13022000e+03
53219.03055556,1.27390601,2.92498195,-0.70853199,3.53387845e+07,7.25193752e+07,4.22250001e+07,8.17652376e+06,2.43632808e+06,6.33493923e+05,2.34880171e+05,3.35929199e+04,8.18036997e+03,1.16832000e+03
53219.03125000,1.26053177,2.95593122,-0.69733473,3.79037844e+07,7.62843750e+07,4.37418750e+07,8.46105502e+06,2.52199212e+06,6.55847462e+05,2.41904070e+05,3.45890399e+04,8.33786996e+03,1.20642000e+03
53219.03194444,1.24696101,2.98641920,-0.68602853,4.10669092e+07,8.04656248e+07,4.53459374e+07,8.74699253e+06,2.60917961e+06,6.78933421e+05,2.48906010e+05,3.55759798e+04,8.48378995e+03,1.24443000e+03
53219.03263889,1.23319893,3.01644949,-0.67461718,4.48281595e+07,8.50631251e+07,4.70371875e+07,9.03433634e+06,2.69789058e+06,7.02751804e+05,2.55885990e+05,3.65537399e+04,8.61812996e+03,1.28235000e+03
53219.03333333,1.21925132,3.04602571,-0.66310412,4.85894092e+07,8.96606248e+07,4.87284374e+07,9.32168009e+06,2.78660153e+06,7.26570183e+05,2.62865970e+05,3.75314997e+04,8.75246996e+03,1.32026999e+03
53219.03402778,1.20512321,3.07515099,-0.65149297,5.23506595e+07,9.42581252e+07,5.04196876e+07,9.60902390e+06,2.87531250e+06,7.50388566e+05,2.69845950e+05,3.85092598e+04,8.88680997e+03,1.35819000e+03
53219.03472222,1.19081978,3.10382911,-0.63978701,5.61662843e+07,9.89306249e+07,5.21456249e+07,9.90316452e+06,2.96630861e+06,7.74880775e+05,2.77041990e+05,3.95218197e+04,9.02663997e+03,1.39796999e+03
53219.03541667,1.17634606,3.13206335,-0.62798955,6.00362846e+07,1.03678125e+08,5.39062501e+07,1.02041020e+07,3.05958990e+06,8.00046818e+05,2.84454091e+05,4.05691798e+04,9.17195998e+03,1.43960999e+03
53219.03611111,1.16170690,3.15985701,-0.61610356,6.48137843e+07,1.09108125e+08,5.57334375e+07,1.05207427e+07,3.15451178e+06,8.25725526e+05,2.91789300e+05,4.16064598e+04,9.30881997e+03,1.48118999e+03
53219.03680556,1.14690686,3.18721324,-0.60413250,7.04987848e+07,1.15220625e+08,5.76271876e+07,1.08530865e+07,3.25107429e+06,8.51916908e+05,2.99047621e+05,4.26336599e+04,9.43721998e+03,1.52270999e+03
53219.03750000,1.13195050,3.21413533,-0.59207889,7.61837844e+07,1.21333125e+08,5.95209375e+07,1.11854302e+07,3.34763678e+06,8.78108286e+05,3.06305940e+05,4.36608598e+04,9.56561998e+03,1.56422999e+03
