# Irene Model output file: ../../unitTests/Legacy/CRRquiet_atEpoch_Intg.CRRESELE.output_mean_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CRRESELE
# Particle species:         e-
# Flux type:                Integral
# Flux direction:           Omnidirectional
# Environment settings:     Current Epoch; Ap range: 5-7.5
# Energy levels (MeV):       0.65 0.95 1.6 2 2.35 2.75 3.15 3.75 4.55 5.75
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.60560552e+05,3.79850227e+05,1.34424469e+05,3.01276034e+04,9.94499073e+03,3.54948891e+03,1.29399897e+03,4.01726993e+02,9.74452484e+01,1.47757490e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,9.63318769e+05,7.96916537e+05,2.84795455e+05,6.25142176e+04,2.02945024e+04,7.17537622e+03,2.60470208e+03,7.97262021e+02,1.93461759e+02,2.89327496e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,1.48476165e+06,1.22999346e+06,4.41544268e+05,9.64974208e+04,3.12122788e+04,1.10223568e+04,4.00283098e+03,1.22272501e+03,2.97795002e+02,4.45004983e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,2.02488936e+06,1.67908111e+06,6.04670956e+05,1.32077223e+05,4.26983231e+04,1.50904318e+04,5.48838610e+03,1.67811608e+03,4.10445011e+02,6.14789999e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,2.60795604e+06,2.16264975e+06,7.82239617e+05,1.70813860e+05,5.47044938e+04,1.92201385e+04,6.97917302e+03,2.12537106e+03,5.21711254e+02,7.79377492e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,3.23396187e+06,2.68069951e+06,9.74250309e+05,2.12707344e+05,6.72307945e+04,2.34114780e+04,8.47519221e+03,2.56449010e+03,6.31593767e+02,9.38767514e+01
53219.00486111,1.55471104,1.41701626,-0.99589999,3.85996761e+06,3.19874919e+06,1.16626097e+06,2.54600821e+05,7.97570933e+04,2.76028169e+04,9.97121117e+03,3.00360906e+03,7.41476263e+02,1.09815751e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,4.48597345e+06,3.71679895e+06,1.35827166e+06,2.96494304e+05,9.22833940e+04,3.17941564e+04,1.14672304e+04,3.44272809e+03,8.51358777e+02,1.25754753e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,5.19342538e+06,4.30104727e+06,1.57562937e+06,3.42219212e+05,1.05717295e+05,3.61826492e+04,1.30153893e+04,3.89188507e+03,9.64671022e+02,1.42114502e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,5.98232352e+06,4.95149421e+06,1.81833414e+06,3.91775553e+05,1.20058797e+05,4.07682961e+04,1.46156884e+04,4.35108006e+03,1.08141302e+03,1.58895000e+02
53219.00763889,1.55319249,1.61750188,-0.98263373,6.77122176e+06,5.60194125e+06,2.06103894e+06,4.41331900e+05,1.34400302e+05,4.53539436e+04,1.62159876e+04,4.81027512e+03,1.19815503e+03,1.75675499e+02
53219.00833333,1.55128673,1.66608598,-0.97834803,7.56011990e+06,6.25238820e+06,2.30374371e+06,4.90888241e+05,1.48741804e+05,4.99395904e+04,1.78162866e+04,5.26947012e+03,1.31489702e+03,1.92455997e+02
53219.00902778,1.54881514,1.71406234,-0.97370527,8.37592826e+06,6.92593677e+06,2.55593288e+06,5.42663332e+05,1.63802052e+05,5.47840211e+04,1.95164347e+04,5.76112815e+03,1.44098103e+03,2.10770997e+02
53219.00972222,1.54579812,1.76143505,-0.96871939,9.27362517e+06,7.64832997e+06,2.81709955e+06,5.98634715e+05,1.80169922e+05,5.99238639e+04,2.12966616e+04,6.27060310e+03,1.57244702e+03,2.30323496e+02
53219.01041667,1.54225483,1.80820850,-0.96340360,1.02263007e+07,8.39646647e+06,3.07775945e+06,6.56583662e+05,1.97126676e+05,6.51003373e+04,2.30571188e+04,6.76543215e+03,1.69995303e+03,2.49578997e+02
