# Irene Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_H+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.71820942e+06,4.93951745e+05,1.52941610e+04,3.78470624e+03,2.72570035e+03,2.28798883e+03,3.10573453e+03,3.66886226e+03,7.77170232e+03
53219.00138889,1.54095775,1.15238275,-1.00243596,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.48620083e+06,1.00130824e+06,3.11920304e+04,7.68412862e+03,5.57498118e+03,4.69535332e+03,6.41442579e+03,7.60486027e+03,1.61545466e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.29071171e+06,1.51911551e+06,4.74234426e+04,1.16642596e+04,8.48454925e+03,7.15414916e+03,9.79508969e+03,1.16273258e+04,2.47229432e+04
53219.00277778,1.54874404,1.26011693,-1.00129850,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.13246030e+06,2.04760821e+06,6.39898047e+04,1.57265243e+04,1.14541589e+04,9.66368448e+03,1.32455166e+04,1.57327986e+04,3.34681564e+04
53219.00347222,1.55146409,1.31304307,-0.99997002,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.01248279e+06,2.58708367e+06,8.09004371e+04,1.98732080e+04,1.44854808e+04,1.22253712e+04,1.67676479e+04,1.99235884e+04,4.23951063e+04
53219.00416667,1.55344362,1.36534232,-0.99816377,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.09314958e+07,3.13774753e+06,9.81617861e+04,2.41058915e+04,1.75796706e+04,1.48401857e+04,2.03628261e+04,2.42012927e+04,5.15071961e+04
53219.00486111,1.55471104,1.41701626,-0.99589999,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.28191433e+07,3.51770970e+06,1.11052267e+05,2.88421933e+04,2.08502734e+04,1.76058882e+04,2.42423156e+04,2.96152651e+04,6.47265834e+04
53219.00555556,1.55529429,1.46806646,-0.99319736,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.46745760e+07,3.72341338e+06,1.19480467e+05,3.40919762e+04,2.43005704e+04,2.05252886e+04,2.84115544e+04,3.61883258e+04,8.21364418e+04
53219.00625000,1.55521927,1.51849557,-0.99007424,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.63301826e+07,3.90278398e+06,1.30835754e+05,4.13918826e+04,3.10607892e+04,2.73205119e+04,4.01399165e+04,5.62447913e+04,1.16329724e+05
53219.00694444,1.55451077,1.56830628,-0.98654759,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.77817384e+07,4.05526824e+06,1.45176808e+05,5.07830702e+04,4.11978315e+04,3.80699992e+04,5.95805246e+04,9.00578683e+04,1.67645671e+05
53219.00763889,1.55319249,1.61750188,-0.98263373,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.92626829e+07,4.21083976e+06,1.59808216e+05,6.03643952e+04,5.15401121e+04,4.90371246e+04,7.94147347e+04,1.24555538e+05,2.20000581e+05
53219.00833333,1.55128673,1.66608598,-0.97834803,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.07734457e+07,4.36954366e+06,1.74734222e+05,7.01386371e+04,6.20906312e+04,6.02250694e+04,9.96482999e+04,1.59747806e+05,2.73409639e+05
53219.00902778,1.54881514,1.71406234,-0.97370527,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.23143961e+07,4.53141874e+06,1.89958475e+05,8.01081847e+04,7.28519672e+04,7.16365681e+04,1.20286166e+05,1.95643275e+05,3.27885900e+05
53219.00972222,1.54579812,1.76143505,-0.96871939,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.38857958e+07,4.69649247e+06,2.05483560e+05,9.02747312e+04,8.38259480e+04,8.32735587e+04,1.41331837e+05,2.32248041e+05,3.83438615e+05
53219.01041667,1.54225483,1.80820850,-0.96340360,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.54878978e+07,4.86479144e+06,2.21311977e+05,1.00639913e+05,9.50143402e+04,9.51379148e+04,1.62788702e+05,2.69567997e+05,4.40076729e+05
53219.01111111,1.53820426,1.85438693,-0.95777059,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.71209632e+07,5.03634308e+06,2.37446305e+05,1.11205421e+05,1.06418968e+05,1.07231570e+05,1.84660258e+05,3.07609225e+05,4.97809472e+05
53219.01180556,1.53366367,1.89997504,-0.95183246,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.87852324e+07,5.21117266e+06,2.53888921e+05,1.21972809e+05,1.18041510e+05,1.19556306e+05,2.06949727e+05,3.46377330e+05,5.56645347e+05
53219.01250000,1.52865033,1.94497724,-0.94560083,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.04810891e+07,5.38932045e+06,2.70643614e+05,1.32944560e+05,1.29884644e+05,1.32114962e+05,2.29662244e+05,3.85881242e+05,6.16597912e+05
53219.01319444,1.52318025,1.98939854,-0.93908636,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.22086494e+07,5.57079868e+06,2.87711532e+05,1.44121425e+05,1.41949184e+05,1.44908399e+05,2.52799366e+05,4.26123671e+05,6.77671276e+05
53219.01388889,1.51726880,2.03324350,-0.93229988,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.39657677e+07,5.75625299e+06,3.05356141e+05,1.55628978e+05,1.54366602e+05,1.58317915e+05,2.77308455e+05,4.68743328e+05,7.42390556e+05
53219.01458333,1.51093106,2.07651714,-0.92525113,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.57495339e+07,5.94667090e+06,3.23971319e+05,1.67655435e+05,1.67334015e+05,1.72911648e+05,3.04599709e+05,5.16179559e+05,8.14514425e+05
53219.01527778,1.50418085,2.11922432,-0.91794984,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.75591388e+07,6.14238712e+06,3.43686240e+05,1.80262759e+05,1.80916345e+05,1.88874991e+05,3.35132628e+05,5.69227216e+05,8.95267562e+05
53219.01597222,1.49703211,2.16136976,-0.91040510,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.93947935e+07,6.34341867e+06,3.64501301e+05,1.93451489e+05,1.95114198e+05,2.06207157e+05,3.68904259e+05,6.27881217e+05,9.84642030e+05
53219.01666667,1.48949758,2.20295831,-0.90262557,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.12567099e+07,6.54978218e+06,3.86416759e+05,2.07222094e+05,2.09928107e+05,2.24907146e+05,4.05911132e+05,6.92135588e+05,1.08262851e+06
