# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_H+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.00000000,1.52982044,1.04214606,-1.00139189,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.81109800e+04,8.09583325e+03,2.47658262e+02,6.18393592e+01,4.38819947e+01,3.65854248e+01,4.90081432e+01,5.74571300e+01,1.20987917e+02
53219.00069444,1.53582559,1.09757628,-1.00219911,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.91626706e+04,8.36922590e+03,2.62147133e+02,6.43175230e+01,4.69746889e+01,3.96808740e+01,5.45163472e+01,6.48382859e+01,1.38068843e+02
53219.00138889,1.54095775,1.15238275,-1.00243596,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.97703722e+04,8.54265584e+03,2.67781807e+02,6.56632130e+01,4.80013314e+01,4.05646030e+01,5.57733532e+01,6.63616378e+01,1.41359279e+02
53219.00208333,1.54525254,1.20656344,-1.00212801,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.03799945e+04,8.71758794e+03,2.73265305e+02,6.70078304e+01,4.89842779e+01,4.13952640e+01,5.69154512e+01,6.77205572e+01,1.44253961e+02
53219.00277778,1.54874404,1.26011693,-1.00129850,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.10116198e+04,8.89883382e+03,2.78946717e+02,6.84009787e+01,5.00027017e+01,4.22559059e+01,5.80987706e+01,6.91285237e+01,1.47253120e+02
53219.00347222,1.55146409,1.31304307,-0.99997002,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.16558009e+04,9.08368262e+03,2.84741068e+02,6.98218210e+01,5.10413703e+01,4.31336561e+01,5.93056128e+01,7.05644787e+01,1.50311899e+02
53219.00416667,1.55344362,1.36534232,-0.99816377,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.23112956e+04,9.27177785e+03,2.90637183e+02,7.12676169e+01,5.20982807e+01,4.40268220e+01,6.05336503e+01,7.20256528e+01,1.53424398e+02
53219.00486111,1.55471104,1.41701626,-0.99589999,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.06102919e+04,3.39362876e+03,1.39045556e+02,8.66091206e+01,5.69218186e+01,4.81632674e+01,6.87826741e+01,1.08440104e+02,2.87221880e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.12374569e+04,3.46315980e+03,1.41894418e+02,8.83836288e+01,5.80880726e+01,4.91500701e+01,7.01919416e+01,1.10661901e+02,2.93106682e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.39494348e+04,2.51586063e+03,2.36615176e+02,1.54946602e+02,1.67252570e+02,1.77357391e+02,3.20753489e+02,5.57886995e+02,8.46669463e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.44357603e+04,2.56694856e+03,2.41419965e+02,1.58093001e+02,1.70648858e+02,1.80958871e+02,3.27266820e+02,5.69215641e+02,8.63862224e+02
53219.00763889,1.55319249,1.61750188,-0.98263373,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.49290531e+04,2.61876840e+03,2.46293590e+02,1.61284477e+02,1.74093804e+02,1.84611948e+02,3.33873464e+02,5.80706586e+02,8.81301298e+02
53219.00833333,1.55128673,1.66608598,-0.97834803,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.54297112e+04,2.67136196e+03,2.51239983e+02,1.64523605e+02,1.77590185e+02,1.88319568e+02,3.40578751e+02,5.92369101e+02,8.99000753e+02
53219.00902778,1.54881514,1.71406234,-0.97370527,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.59352986e+04,2.72447333e+03,2.56235075e+02,1.67794623e+02,1.81120990e+02,1.92063692e+02,3.47350055e+02,6.04146440e+02,9.16874467e+02
53219.00972222,1.54579812,1.76143505,-0.96871939,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.64446942e+04,2.77798476e+03,2.61267793e+02,1.71090280e+02,1.84678390e+02,1.95836019e+02,3.54172364e+02,6.16012491e+02,9.34882814e+02
53219.01041667,1.54225483,1.80820850,-0.96340360,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.69587005e+04,2.83198053e+03,2.66346063e+02,1.74415767e+02,1.88267990e+02,1.99642489e+02,3.61056423e+02,6.27985944e+02,9.53054160e+02
53219.01111111,1.53820426,1.85438693,-0.95777059,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.74768150e+04,2.88640787e+03,2.71464921e+02,1.77767833e+02,1.91886279e+02,2.03479383e+02,3.67995502e+02,6.40055095e+02,9.71370739e+02
53219.01180556,1.53366367,1.89997504,-0.95183246,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.79988226e+04,2.94124416e+03,2.76622241e+02,1.81145086e+02,1.95531755e+02,2.07345106e+02,3.74986721e+02,6.52214931e+02,9.89824947e+02
53219.01250000,1.52865033,1.94497724,-0.94560083,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.85297364e+04,2.99701605e+03,2.81867553e+02,1.84579960e+02,1.99239430e+02,2.11276786e+02,3.82097221e+02,6.64582235e+02,1.00859401e+03
53219.01319444,1.52318025,1.98939854,-0.93908636,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.90556106e+04,3.05225853e+03,2.87063076e+02,1.87982229e+02,2.02911909e+02,2.15171144e+02,3.89140226e+02,6.76832143e+02,1.02718492e+03
53219.01388889,1.51726880,2.03324350,-0.93229988,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.95149968e+04,3.12955156e+03,3.01090523e+02,1.95602853e+02,2.11001998e+02,2.31812706e+02,4.27829357e+02,7.43823008e+02,1.13012426e+03
