# Irene Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_He+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         He+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.27327361e+04,2.22221342e+04,9.28706512e+03,5.12280418e+03,5.40617336e+03,3.60750591e+03,1.05067706e+03
53219.00138889,1.54095775,1.15238275,-1.00243596,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.64578931e+04,4.52451528e+04,1.83359404e+04,1.07404187e+04,1.12917342e+04,7.48744442e+03,2.07872160e+03
53219.00208333,1.54525254,1.20656344,-1.00212801,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.31078341e+05,6.87487767e+04,2.75554354e+04,1.64851958e+04,1.73092332e+04,1.14529197e+04,3.12629663e+03
53219.00277778,1.54874404,1.26011693,-1.00129850,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.76619573e+05,9.27374190e+04,3.69651830e+04,2.23485216e+04,2.34509087e+04,1.55002263e+04,4.19548932e+03
53219.00347222,1.55146409,1.31304307,-0.99997002,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.23107210e+05,1.17224576e+05,4.65704773e+04,2.83336948e+04,2.97202161e+04,1.96316410e+04,5.28690120e+03
53219.00416667,1.55344362,1.36534232,-0.99816377,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.70558974e+05,1.42219583e+05,5.63749797e+04,3.44429970e+04,3.61195453e+04,2.38487388e+04,6.40094833e+03
53219.00486111,1.55471104,1.41701626,-0.99589999,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.34244294e+05,1.63280493e+05,6.20470304e+04,3.80751207e+04,3.97632003e+04,2.62892351e+04,7.08103063e+03
53219.00555556,1.55529429,1.46806646,-0.99319736,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.14490671e+05,1.80324009e+05,6.35009038e+04,3.91786531e+04,4.05940308e+04,2.69162749e+04,7.31813661e+03
53219.00625000,1.55521927,1.51849557,-0.99007424,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.83953882e+05,1.94541970e+05,6.53417858e+04,4.03264861e+04,4.15105541e+04,2.75249189e+04,7.64812888e+03
