# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_He+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         He+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.00000000,1.52982044,1.04214606,-1.00139189,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.03056573e+02,3.61060901e+02,1.60040640e+02,7.82822514e+01,8.32956472e+01,5.63403573e+01,1.80370548e+01
53219.00069444,1.53582559,1.09757628,-1.00219911,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.21368048e+02,3.79676949e+02,1.49528215e+02,9.24778979e+01,9.69101422e+01,6.39098467e+01,1.69855160e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.36137075e+02,3.87756948e+02,1.52100938e+02,9.47759056e+01,9.92752035e+01,6.54214271e+01,1.72826326e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.51211310e+02,3.95697235e+02,1.55215583e+02,9.67166777e+01,1.01308110e+02,6.67610933e+01,1.76365375e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.66829616e+02,4.03924108e+02,1.58442644e+02,9.87274977e+01,1.03414390e+02,6.81491118e+01,1.80032157e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.82758392e+02,4.12314521e+02,1.61733854e+02,1.00778290e+02,1.05562539e+02,6.95647222e+01,1.83771830e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.98966920e+02,4.20852291e+02,1.65082866e+02,1.02865100e+02,1.07748416e+02,7.10051944e+01,1.87577181e+01
53219.00486111,1.55471104,1.41701626,-0.99589999,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.32387724e+03,2.81178096e+02,2.39855045e+01,1.82056990e+01,1.37067577e+01,1.03446874e+01,3.91169336e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.35100176e+03,2.86939069e+02,2.44769362e+01,1.85787101e+01,1.39875913e+01,1.05566366e+01,3.99183886e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.64438765e+02,1.86992989e+02,3.68858030e+01,1.96823950e+01,1.65631870e+01,9.73149764e+00,7.00790400e+00
53219.00694444,1.55451077,1.56830628,-0.98654759,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,9.84022991e+02,1.90790133e+02,3.76348188e+01,2.00820725e+01,1.68995248e+01,9.92910878e+00,7.15020891e+00
53219.00763889,1.55319249,1.61750188,-0.98263373,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,1.00388779e+03,1.94641676e+02,3.83945654e+01,2.04874759e+01,1.72406811e+01,1.01295510e+01,7.29455255e+00
