# Irene Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_O+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         O+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.61164093e+04,8.43131794e+03,6.37630875e+03,3.91893344e+03,6.66180519e+02,1.31735526e+03
53219.00138889,1.54095775,1.15238275,-1.00243596,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.42987702e+04,1.71324669e+04,1.24420406e+04,8.19701971e+03,1.31177686e+03,2.64827466e+03
53219.00208333,1.54525254,1.20656344,-1.00212801,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.13302569e+05,2.60141666e+04,1.86171563e+04,1.25713625e+04,1.96942748e+03,4.00589513e+03
53219.00277778,1.54874404,1.26011693,-1.00129850,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.53111247e+05,3.50791482e+04,2.49197011e+04,1.70359738e+04,2.64064932e+03,5.39153134e+03
53219.00347222,1.55146409,1.31304307,-0.99997002,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.93747200e+05,4.43325117e+04,3.13532209e+04,2.15933654e+04,3.32582001e+03,6.80596284e+03
53219.00416667,1.55344362,1.36534232,-0.99816377,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.35225919e+05,5.37777846e+04,3.79201681e+04,2.62452748e+04,4.02520074e+03,8.24972883e+03
53219.00486111,1.55471104,1.41701626,-0.99589999,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.65650782e+05,6.01859753e+04,4.19897545e+04,2.89295334e+04,4.44548853e+03,9.15046680e+03
53219.00555556,1.55529429,1.46806646,-0.99319736,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.84790840e+05,6.34938399e+04,4.35101045e+04,2.96053251e+04,4.58088972e+03,9.49689517e+03
53219.00625000,1.55521927,1.51849557,-0.99007424,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.06803984e+05,6.79493617e+04,4.57749318e+04,3.09182756e+04,4.76618825e+03,9.84442387e+03
53219.00694444,1.55451077,1.56830628,-0.98654759,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.31746831e+05,7.35755473e+04,4.87992171e+04,3.28812624e+04,5.00238515e+03,1.01930440e+04
53219.00763889,1.55319249,1.61750188,-0.98263373,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.57194680e+05,7.93156429e+04,5.18847333e+04,3.48839926e+04,5.24336419e+03,1.05487225e+04
53219.00833333,1.55128673,1.66608598,-0.97834803,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.83154913e+05,8.51713133e+04,5.50323753e+04,3.69270471e+04,5.48919525e+03,1.09115624e+04
53219.00902778,1.54881514,1.71406234,-0.97370527,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.09633875e+05,9.11439899e+04,5.82429125e+04,3.90109252e+04,5.73993844e+03,1.12816524e+04
53219.00972222,1.54579812,1.76143505,-0.96871939,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.36636063e+05,9.72346869e+04,6.15168901e+04,4.11359809e+04,5.99563632e+03,1.16590555e+04
53219.01041667,1.54225483,1.80820850,-0.96340360,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.64165824e+05,1.03444385e+05,6.48548352e+04,4.33025563e+04,6.25633008e+03,1.20438323e+04
53219.01111111,1.53820426,1.85438693,-0.95777059,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.92227646e+05,1.09774096e+05,6.82572919e+04,4.55110045e+04,6.52206219e+03,1.24360456e+04
53219.01180556,1.53366367,1.89997504,-0.95183246,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.20825661e+05,1.16224753e+05,7.17247613e+04,4.77616508e+04,6.79287180e+03,1.28357531e+04
53219.01250000,1.52865033,1.94497724,-0.94560083,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.49966458e+05,1.22797841e+05,7.52580423e+04,5.00550138e+04,7.06882130e+03,1.32430470e+04
53219.01319444,1.52318025,1.98939854,-0.93908636,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.79652036e+05,1.29493812e+05,7.88573772e+04,5.23912507e+04,7.34992961e+03,1.36579552e+04
53219.01388889,1.51726880,2.03324350,-0.93229988,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.09347622e+05,1.36597305e+05,8.24719124e+04,5.47962180e+04,7.63786187e+03,1.40830838e+04
53219.01458333,1.51093106,2.07651714,-0.92525113,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.38263990e+05,1.44531979e+05,8.60267212e+04,5.73086764e+04,7.93513499e+03,1.45223681e+04
53219.01527778,1.50418085,2.11922432,-0.91794984,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.66147322e+05,1.53435862e+05,8.94977682e+04,5.99413890e+04,8.24258793e+03,1.49771181e+04
53219.01597222,1.49703211,2.16136976,-0.91040510,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.93004190e+05,1.63308035e+05,9.28857675e+04,6.26944708e+04,8.56024307e+03,1.54473658e+04
53219.01666667,1.48949758,2.20295831,-0.90262557,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.18841456e+05,1.74147428e+05,9.61914604e+04,6.55680226e+04,8.88812190e+03,1.59331419e+04
53219.01736111,1.48158981,2.24399485,-0.89462001,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.43666225e+05,1.85952814e+05,9.94156111e+04,6.85621295e+04,9.22624474e+03,1.64344756e+04
53219.01805556,1.47332072,2.28448440,-0.88639597,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.67784289e+05,1.98563653e+05,1.02587375e+05,7.16623785e+04,9.57369632e+03,1.69499317e+04
53219.01875000,1.46470178,2.32443150,-0.87796145,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.91901306e+05,2.11606093e+05,1.05773916e+05,7.48349429e+04,9.92830838e+03,1.74761147e+04
53219.01944444,1.45574413,2.36384103,-0.86932383,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.16421995e+05,2.24866838e+05,1.09013793e+05,7.80606099e+04,1.02888560e+04,1.80111049e+04
53219.02013889,1.44645844,2.40271786,-0.86049017,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.41348800e+05,2.38347210e+05,1.12307330e+05,8.13397010e+04,1.06553750e+04,1.85549558e+04
53219.02083333,1.43685460,2.44106636,-0.85146738,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.66684172e+05,2.52048535e+05,1.15654850e+05,8.46725385e+04,1.10279015e+04,1.91077207e+04
53219.02152778,1.42694265,2.47889157,-0.84226174,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.92430603e+05,2.65972159e+05,1.19056683e+05,8.80594504e+04,1.14064721e+04,1.96694541e+04
53219.02222222,1.41673201,2.51619773,-0.83287968,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.18590603e+05,2.80119441e+05,1.22513160e+05,9.15007667e+04,1.17911238e+04,2.02402107e+04
53219.02291667,1.40623164,2.55298955,-0.82332732,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.45166727e+05,2.94491762e+05,1.26024618e+05,9.49968238e+04,1.21818941e+04,2.08200463e+04
53219.02361111,1.39545046,2.58927141,-0.81361047,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.72161550e+05,3.09090514e+05,1.29591399e+05,9.85479601e+04,1.25788209e+04,2.14090170e+04
53219.02430556,1.38439666,2.62504771,-0.80373478,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.99577696e+05,3.23917117e+05,1.33213848e+05,1.02154521e+05,1.29819427e+04,2.20071801e+04
53219.02500000,1.37307870,2.66032286,-0.79370542,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.02741782e+06,3.38973006e+05,1.36892317e+05,1.05816855e+05,1.33912986e+04,2.26145934e+04
53219.02569444,1.36150411,2.69510108,-0.78352791,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.05568461e+06,3.54259638e+05,1.40627161e+05,1.09535318e+05,1.38069282e+04,2.32313159e+04
53219.02638889,1.34968075,2.72938677,-0.77320693,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.08438082e+06,3.69778495e+05,1.44418742e+05,1.13310269e+05,1.42288718e+04,2.38574072e+04
53219.02708333,1.33761568,2.76318386,-0.76274752,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.11350920e+06,3.85531076e+05,1.48267427e+05,1.17142073e+05,1.46571701e+04,2.44929278e+04
53219.02777778,1.32531611,2.79649642,-0.75215438,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.14307260e+06,4.01518907e+05,1.52173588e+05,1.21031102e+05,1.50918646e+04,2.51379394e+04
53219.02847222,1.31278896,2.82932870,-0.74143207,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.17307384e+06,4.17743527e+05,1.56137602e+05,1.24977729e+05,1.55329973e+04,2.57925039e+04
53219.02916667,1.30004065,2.86168446,-0.73058466,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.20362939e+06,4.34122136e+05,1.60194960e+05,1.28997046e+05,1.59870333e+04,2.64554405e+04
53219.02986111,1.28707747,2.89356762,-0.71961671,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.23513058e+06,4.50367662e+05,1.64466154e+05,1.33139753e+05,1.64759886e+04,2.71225552e+04
