# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_Pa70.CAMMICE.output_mean_O+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         O+
# Flux type:                Differential
# Flux direction:           Bin 60-70
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.00000000,1.52982044,1.04214606,-1.00139189,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.74610102e+02,1.37533746e+02,1.12228118e+02,6.01950779e+01,1.15358988e+01,2.19455537e+01
53219.00069444,1.53582559,1.09757628,-1.00219911,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.29270278e+02,1.43510202e+02,1.00315520e+02,7.04360444e+01,1.06701198e+01,2.19662910e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.43474987e+02,1.46528075e+02,1.01875525e+02,7.21668206e+01,1.08497566e+01,2.23976854e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.56651736e+02,1.49528602e+02,1.03961680e+02,7.36446156e+01,1.10719323e+01,2.28563337e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.70304070e+02,1.52637425e+02,1.06123129e+02,7.51757482e+01,1.13021270e+01,2.33315358e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.84227794e+02,1.55808048e+02,1.08327545e+02,7.67373176e+01,1.15368976e+01,2.38161843e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.98396055e+02,1.59034355e+02,1.10570677e+02,7.83263123e+01,1.17757914e+01,2.43093445e+01
53219.00486111,1.55471104,1.41701626,-0.99589999,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.15766123e+02,5.45720166e+01,2.50822130e+01,1.11489807e+01,2.23380247e+00,5.71525667e+00
53219.00555556,1.55529429,1.46806646,-0.99319736,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,3.22235760e+02,5.56901263e+01,2.55961149e+01,1.13774088e+01,2.27957018e+00,5.83235485e+00
53219.00625000,1.55521927,1.51849557,-0.99007424,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,4.11535745e+02,9.28272752e+01,4.98981345e+01,3.23876117e+01,3.89704789e+00,5.75193570e+00
