# Irene Model output file: ../../unitTests/Legacy/CammiceAll_Pa90.CAMMICE.output_mean_Ions_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Bin 80-90
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.02876030e+04,1.68127031e+04,1.66252642e+04,1.42256613e+04,8.80441545e+03,1.77296948e+03,5.39691771e+02,5.48260908e+02,5.02756204e+02,6.79842889e+02,8.21690569e+02,1.68670589e+03
53219.00138889,1.54095775,1.15238275,-1.00243596,8.14147829e+04,3.39757759e+04,3.35969919e+04,2.87477794e+04,1.77923113e+04,3.58288691e+03,1.09063049e+03,1.10794735e+03,1.01598964e+03,1.37385342e+03,1.66050483e+03,3.40856202e+03
53219.00208333,1.54525254,1.20656344,-1.00212801,1.23407585e+05,5.15000877e+04,5.09259313e+04,4.35755511e+04,2.69693794e+04,5.43089849e+03,1.65316507e+03,1.67941376e+03,1.54002533e+03,2.08247111e+03,2.51697399e+03,5.16665884e+03
53219.00277778,1.54874404,1.26011693,-1.00129850,1.66296554e+05,6.93983851e+04,6.86246869e+04,5.87197616e+04,3.63422949e+04,7.31834841e+03,2.22770468e+03,2.26307581e+03,2.07524444e+03,2.80621137e+03,3.39172103e+03,6.96227514e+03
53219.00347222,1.55146409,1.31304307,-0.99997002,2.10108574e+05,8.76818875e+04,8.67043530e+04,7.41899041e+04,4.59169333e+04,9.24641980e+03,2.81460946e+03,2.85929937e+03,2.62198248e+03,3.54552789e+03,4.28529426e+03,8.79653648e+03
53219.00416667,1.55344362,1.36534232,-0.99816377,2.54863015e+05,1.06358678e+05,1.05172923e+05,8.99928179e+04,5.56975273e+04,1.12159651e+04,3.41413889e+03,3.46834802e+03,3.18048115e+03,4.30074752e+03,5.19808876e+03,1.06702538e+04
53219.00486111,1.55471104,1.41701626,-0.99589999,3.06693636e+05,1.30100328e+05,1.26874470e+05,1.02732193e+05,6.23515975e+04,1.27545011e+04,4.05578701e+03,4.15525959e+03,3.77544334e+03,5.15245428e+03,6.44079879e+03,1.34262659e+04
53219.00555556,1.55529429,1.46806646,-0.99319736,3.65747926e+05,1.59013445e+05,1.51876533e+05,1.12341437e+05,6.58116769e+04,1.38526788e+04,4.74040581e+03,4.92164791e+03,4.40760353e+03,6.10264799e+03,8.02039221e+03,1.70832512e+04
53219.00625000,1.55521927,1.51849557,-0.99007424,4.71070168e+05,2.19092824e+05,1.99479604e+05,1.31430258e+05,7.13478630e+04,1.59560642e+04,6.05952663e+03,6.42833648e+03,5.89863149e+03,8.62751937e+03,1.22802143e+04,2.42563957e+04
53219.00694444,1.55451077,1.56830628,-0.98654759,6.23638715e+05,3.10998112e+05,2.70161809e+05,1.60199250e+05,7.90040095e+04,1.90859235e+04,8.02657348e+03,8.69098948e+03,8.26671496e+03,1.27604264e+04,1.92770452e+04,3.50200976e+04
53219.00763889,1.55319249,1.61750188,-0.98263373,7.79437978e+05,4.04849540e+05,3.42340746e+05,1.89577439e+05,8.68222786e+04,2.22820592e+04,1.00352735e+04,1.10015553e+04,1.06849438e+04,1.69808498e+04,2.64220376e+04,4.60117263e+04
53219.00833333,1.55128673,1.66608598,-0.97834803,9.38524293e+05,5.00681045e+05,4.16042514e+05,2.19575449e+05,9.48054976e+04,2.55456269e+04,1.20863531e+04,1.33608694e+04,1.31541924e+04,2.12903157e+04,3.37177749e+04,5.72352564e+04
53219.00902778,1.54881514,1.71406234,-0.97370527,1.10094793e+06,5.98522908e+05,4.91290400e+05,2.50202758e+05,1.02956189e+05,2.88776579e+04,1.41804604e+04,1.57696774e+04,1.56752410e+04,2.56901858e+04,4.11665626e+04,6.86942342e+04
53219.00972222,1.54579812,1.76143505,-0.96871939,1.26674782e+06,6.98398581e+05,5.68102443e+05,2.81466709e+05,1.11276306e+05,3.22789508e+04,1.63180972e+04,1.82285565e+04,1.82486939e+04,3.01815147e+04,4.87701860e+04,8.03914064e+04
53219.01041667,1.54225483,1.80820850,-0.96340360,1.43596243e+06,8.00331242e+05,6.46496466e+05,3.13374555e+05,1.19767780e+05,3.57502950e+04,1.84997597e+04,2.07380774e+04,2.08751483e+04,3.47653447e+04,5.65304097e+04,9.23294875e+04
53219.01111111,1.53820426,1.85438693,-0.95777059,1.61152293e+06,9.02355812e+05,7.26695457e+05,3.51591048e+05,1.29219201e+05,3.99146101e+04,2.08833724e+04,2.35048000e+04,2.41886874e+04,4.08774010e+04,6.69372849e+04,1.08387780e+05
53219.01180556,1.53366367,1.89997504,-0.95183246,1.79379386e+06,1.00427071e+06,8.08740171e+05,3.96762032e+05,1.39721281e+05,4.48429087e+04,2.34871973e+04,2.65525420e+04,2.82614160e+04,4.86806765e+04,8.02734605e+04,1.29006598e+05
53219.01250000,1.52865033,1.94497724,-0.94560083,1.98000355e+06,1.10805347e+06,8.92456075e+05,4.43367424e+05,1.50507815e+05,4.99281583e+04,2.61580592e+04,2.96807648e+04,3.24749200e+04,5.67741691e+04,9.41090025e+04,1.50400214e+05
53219.01319444,1.52318025,1.98939854,-0.93908636,2.16991528e+06,1.21389953e+06,9.77836337e+05,4.90899379e+05,1.61508796e+05,5.51145079e+04,2.88820206e+04,3.28711798e+04,3.67721929e+04,6.50285686e+04,1.08219609e+05,1.72219156e+05
53219.01388889,1.51726880,2.03324350,-0.93229988,2.36353643e+06,1.32181302e+06,1.06488427e+06,5.39359743e+05,1.72724652e+05,6.04021589e+04,3.16591872e+04,3.61239111e+04,4.11534014e+04,7.34441958e+04,1.22605829e+05,1.94464273e+05
53219.01458333,1.51093106,2.07651714,-0.92525113,2.56090423e+06,1.43181467e+06,1.15361662e+06,5.88757834e+05,1.84157539e+05,6.57921281e+04,3.44900932e+04,3.94395840e+04,4.56193881e+04,8.20226687e+04,1.37270428e+05,2.17139842e+05
