# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_Pa90.CAMMICE.output_mean_Ions_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Bin 80-90
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.00000000,1.52982044,1.04214606,-1.00139189,6.64566475e+02,2.77334912e+02,2.74243002e+02,2.34660214e+02,1.45233742e+02,2.92461202e+01,8.90251669e+00,9.04386938e+00,8.29324391e+00,1.12143875e+01,1.35542441e+01,2.78231541e+01
53219.00069444,1.53582559,1.09757628,-1.00219911,6.78353705e+02,2.83088558e+02,2.79932503e+02,2.39528522e+02,1.48246791e+02,2.98528661e+01,9.08721009e+00,9.23149532e+00,8.46529722e+00,1.14470435e+01,1.38354432e+01,2.84003788e+01
53219.00138889,1.54095775,1.15238275,-1.00243596,6.92552185e+02,2.89013826e+02,2.85791712e+02,2.44542044e+02,1.51349713e+02,3.04777102e+01,9.27741260e+00,9.42471783e+00,8.64248260e+00,1.16866392e+01,1.41250300e+01,2.89948213e+01
53219.00208333,1.54525254,1.20656344,-1.00212801,7.07207988e+02,2.95129941e+02,2.91839642e+02,2.49717047e+02,1.54552579e+02,3.11226801e+01,9.47374137e+00,9.62416388e+00,8.82537497e+00,1.19339520e+01,1.44239441e+01,2.96084102e+01
53219.00277778,1.54874404,1.26011693,-1.00129850,7.22424184e+02,3.01479919e+02,2.98118826e+02,2.55089927e+02,1.57877912e+02,3.17923117e+01,9.67757718e+00,9.83123616e+00,9.01526061e+00,1.21907214e+01,1.47342878e+01,3.02454610e+01
53219.00347222,1.55146409,1.31304307,-0.99997002,7.37976595e+02,3.07970206e+02,3.04536754e+02,2.60581526e+02,1.61276722e+02,3.24767394e+01,9.88591691e+00,1.00428839e+01,9.20934193e+00,1.24531643e+01,1.50514889e+01,3.08965879e+01
53219.00416667,1.55344362,1.36534232,-0.99816377,7.53837973e+02,3.14589429e+02,3.11082182e+02,2.66182221e+02,1.64743053e+02,3.31747640e+01,1.00983955e+01,1.02587362e+01,9.40727890e+00,1.27208210e+01,1.53749915e+01,3.15606502e+01
53219.00486111,1.55471104,1.41701626,-0.99589999,9.73849494e+02,4.76798961e+02,4.12302764e+02,1.58463636e+02,5.70593020e+01,1.81097729e+01,1.12898769e+01,1.26383176e+01,1.04247953e+01,1.56694064e+01,2.60486792e+01,6.03064272e+01
53219.00555556,1.55529429,1.46806646,-0.99319736,9.94626672e+02,4.86971516e+02,4.21099285e+02,1.61844474e+02,5.82766680e+01,1.84961468e+01,1.15307475e+01,1.29079574e+01,1.06472094e+01,1.60037148e+01,2.66044304e+01,6.15930709e+01
53219.00625000,1.55521927,1.51849557,-0.99007424,2.51611498e+03,1.51567459e+03,1.16566985e+03,4.74449622e+02,1.26262883e+02,5.16167062e+01,3.24399498e+01,3.73149985e+01,3.90537261e+01,6.81586702e+01,1.15389649e+02,1.77511762e+02
