# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_H+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.16974417e+07,1.01061213e+07,7.65820078e+05,2.77034223e+05,7.88482920e+04,6.09234519e+04,8.26863454e+04,7.31276774e+04,1.30761017e+05
53219.00138889,1.54095775,1.15238275,-1.00243596,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.43256790e+07,2.04505993e+07,1.54279393e+06,5.55968637e+05,1.59027966e+05,1.22975461e+05,1.66917790e+05,1.48116380e+05,2.65503802e+05
53219.00208333,1.54525254,1.20656344,-1.00212801,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.79074472e+07,3.10392553e+07,2.33119390e+06,8.36849594e+05,2.40571533e+05,1.86183587e+05,2.52732066e+05,2.25011562e+05,4.04325613e+05
53219.00277778,1.54874404,1.26011693,-1.00129850,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.32469761e+08,4.18790079e+07,3.13134379e+06,1.11973231e+06,3.23517642e+05,2.50580591e+05,3.40174025e+05,3.03867239e+05,5.47342010e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.68034978e+08,5.29755818e+07,3.94351143e+06,1.40466236e+06,4.07898265e+05,3.16193574e+05,4.29280772e+05,3.84728111e+05,6.94648643e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.04616674e+08,6.43324539e+07,4.76785959e+06,1.69166751e+06,4.93732829e+05,3.83039002e+05,5.20074850e+05,4.67621321e+05,8.46303576e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.38284337e+08,7.20622652e+07,5.30609953e+06,1.89339168e+06,5.69068858e+05,4.41182596e+05,5.97250654e+05,5.48705244e+05,1.00735961e+06
53219.00555556,1.55529429,1.46806646,-0.99319736,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.68947267e+08,7.60847859e+07,5.55422607e+06,2.01001049e+06,6.33963271e+05,4.90702010e+05,6.60969586e+05,6.28498142e+05,1.17971803e+06
53219.00625000,1.55521927,1.51849557,-0.99007424,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.04963513e+08,7.98332554e+07,5.82941800e+06,2.16081451e+06,7.41063170e+05,5.90624771e+05,8.12806129e+05,8.50073718e+05,1.54621664e+06
53219.00694444,1.55451077,1.56830628,-0.98654759,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.46226585e+08,8.32920335e+07,6.13299638e+06,2.34679168e+06,8.91954282e+05,7.42749337e+05,1.05634388e+06,1.21968293e+06,2.11467970e+06
53219.00763889,1.55319249,1.61750188,-0.98263373,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.88120542e+08,8.68212438e+07,6.44348948e+06,2.53720188e+06,1.04761312e+06,8.99886751e+05,1.30910732e+06,1.60493989e+06,2.70706740e+06
53219.00833333,1.55128673,1.66608598,-0.97834803,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.30650741e+08,9.04214847e+07,6.76095608e+06,2.73208281e+06,1.20808023e+06,1.06207964e+06,1.57117487e+06,2.00597767e+06,3.32358321e+06
53219.00902778,1.54881514,1.71406234,-0.97370527,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.73821088e+08,9.40931920e+07,7.08543895e+06,2.93146188e+06,1.37338507e+06,1.22935897e+06,1.84260358e+06,2.42289297e+06,3.96437497e+06
53219.00972222,1.54579812,1.76143505,-0.96871939,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.17633056e+08,9.78365303e+07,7.41695426e+06,3.13534945e+06,1.54353883e+06,1.40173652e+06,2.12341505e+06,2.85572249e+06,4.62949879e+06
53219.01041667,1.54225483,1.80820850,-0.96340360,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.62087814e+08,1.01651630e+08,7.75551479e+06,3.34375373e+06,1.71855029e+06,1.57922151e+06,2.41362631e+06,3.30449506e+06,5.31899876e+06
53219.01111111,1.53820426,1.85438693,-0.95777059,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.07236032e+08,1.05540678e+08,8.10189886e+06,3.55722993e+06,1.89889471e+06,1.76305366e+06,2.71603291e+06,3.77441710e+06,6.04081904e+06
53219.01180556,1.53366367,1.89997504,-0.95183246,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.53131652e+08,1.09505959e+08,8.45693768e+06,3.77637157e+06,2.08507909e+06,1.95456305e+06,3.03363630e+06,4.27108003e+06,6.80349123e+06
53219.01250000,1.52865033,1.94497724,-0.94560083,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.99782491e+08,1.13548041e+08,8.82073657e+06,4.00125108e+06,2.27717065e+06,2.15388542e+06,3.36673145e+06,4.79502504e+06,7.60784132e+06
53219.01319444,1.52318025,1.98939854,-0.93908636,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.47186123e+08,1.17666677e+08,9.19326737e+06,4.23185003e+06,2.47515041e+06,2.36099561e+06,3.71526850e+06,5.34616429e+06,8.45373515e+06
53219.01388889,1.51726880,2.03324350,-0.93229988,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.95336124e+08,1.21861214e+08,9.57445554e+06,4.46811959e+06,2.67896808e+06,2.57582715e+06,4.07911561e+06,5.92426559e+06,9.34081800e+06
53219.01458333,1.51093106,2.07651714,-0.92525113,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.44231978e+08,1.26131599e+08,9.96429515e+06,4.71005588e+06,2.88861968e+06,2.79837475e+06,4.45826236e+06,6.52931062e+06,1.02690619e+07
53219.01527778,1.50418085,2.11922432,-0.91794984,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.93873036e+08,1.30477766e+08,1.03627786e+07,4.95765393e+06,3.10410008e+06,3.02863164e+06,4.85269525e+06,7.16127558e+06,1.12384304e+07
53219.01597222,1.49703211,2.16136976,-0.91040510,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.44258475e+08,1.34899632e+08,1.07698964e+07,5.21090751e+06,3.32540290e+06,3.26658937e+06,5.26239758e+06,7.82013109e+06,1.22488788e+07
53219.01666667,1.48949758,2.20295831,-0.90262557,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.95387377e+08,1.39397104e+08,1.11856379e+07,5.46980964e+06,3.55252092e+06,3.51223839e+06,5.68735037e+06,8.50584369e+06,1.33003558e+07
53219.01736111,1.48158981,2.24399485,-0.89462001,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.04725869e+09,1.43970073e+08,1.16099909e+07,5.73435231e+06,3.78544591e+06,3.76556784e+06,6.12753212e+06,9.21837554e+06,1.43928037e+07
