# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_H+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         H+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.00000000,1.52982044,1.04214606,-1.00139189,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.20623790e+05,1.66472031e+05,1.26717958e+04,4.60158574e+03,1.30317176e+03,1.00609506e+03,1.36537893e+03,1.20346550e+03,2.14655271e+03
53219.00069444,1.53582559,1.09757628,-1.00219911,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.35957662e+05,1.70398700e+05,1.28555416e+04,4.63288890e+03,1.32510480e+03,1.02468680e+03,1.39083274e+03,1.23412390e+03,2.21214812e+03
53219.00138889,1.54095775,1.15238275,-1.00243596,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.51650165e+05,1.74417206e+05,1.30435849e+04,4.66492418e+03,1.34755080e+03,1.04371336e+03,1.41688187e+03,1.26549934e+03,2.27927769e+03
53219.00208333,1.54525254,1.20656344,-1.00212801,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.67742189e+05,1.78538021e+05,1.32364157e+04,4.69777506e+03,1.37056827e+03,1.06322433e+03,1.44359419e+03,1.29767358e+03,2.34811633e+03
53219.00277778,1.54874404,1.26011693,-1.00129850,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.84334830e+05,1.82787033e+05,1.34352453e+04,4.73164792e+03,1.39430181e+03,1.08334227e+03,1.47113752e+03,1.33084875e+03,2.41909651e+03
53219.00347222,1.55146409,1.31304307,-0.99997002,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.01172505e+05,1.87098793e+05,1.36370112e+04,4.76602100e+03,1.41838583e+03,1.10375732e+03,1.49908760e+03,1.36451384e+03,2.49112491e+03
53219.00416667,1.55344362,1.36534232,-0.99816377,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.18217244e+05,1.91463577e+05,1.38412583e+04,4.80081679e+03,1.44276603e+03,1.12442341e+03,1.52738140e+03,1.39859293e+03,2.56403908e+03
53219.00486111,1.55471104,1.41701626,-0.99589999,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.04038264e+05,6.61968167e+04,4.10007417e+03,1.92332263e+03,1.06843514e+03,8.13696523e+02,1.04514556e+03,1.30420469e+03,2.80449569e+03
53219.00555556,1.55529429,1.46806646,-0.99319736,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,5.18059313e+05,6.78871945e+04,4.17080981e+03,1.96397067e+03,1.09471176e+03,8.36950459e+02,1.07881864e+03,1.35555836e+03,2.94078458e+03
53219.00625000,1.55521927,1.51849557,-0.99007424,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.82482296e+05,5.70617979e+04,5.00225531e+03,3.06283030e+03,2.47528512e+03,2.49380848e+03,3.98239983e+03,6.03029468e+03,9.27583651e+03
53219.00694444,1.55451077,1.56830628,-0.98654759,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,6.92953537e+05,5.82308136e+04,5.11702442e+03,3.13640894e+03,2.55441892e+03,2.57701072e+03,4.13552584e+03,6.29001313e+03,9.67293333e+03
53219.00763889,1.55319249,1.61750188,-0.98263373,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.03511580e+05,5.94095199e+04,5.23274491e+03,3.21059750e+03,2.63420871e+03,2.66090267e+03,4.28992119e+03,6.55188452e+03,1.00733219e+04
53219.00833333,1.55128673,1.66608598,-0.97834803,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.14161811e+05,6.05985180e+04,5.34947581e+03,3.28543384e+03,2.71469518e+03,2.74552713e+03,4.44566465e+03,6.81604244e+03,1.04772065e+04
53219.00902778,1.54881514,1.71406234,-0.97370527,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.24849650e+05,6.17917149e+04,5.46661893e+03,3.36053445e+03,2.79546588e+03,2.83045041e+03,4.60195809e+03,7.08113318e+03,1.08825172e+04
53219.00972222,1.54579812,1.76143505,-0.96871939,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.35549353e+05,6.29862362e+04,5.58389206e+03,3.43571842e+03,2.87632623e+03,2.91546796e+03,4.75842500e+03,7.34651815e+03,1.12882779e+04
53219.01041667,1.54225483,1.80820850,-0.96340360,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.46275792e+05,6.41837423e+04,5.70145824e+03,3.51109026e+03,2.95738863e+03,3.00069796e+03,4.91528290e+03,7.61256628e+03,1.16950525e+04
53219.01111111,1.53820426,1.85438693,-0.95777059,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.58664927e+05,6.54512049e+04,5.84467796e+03,3.60478381e+03,3.05409255e+03,3.12704089e+03,5.16493779e+03,8.05150288e+03,1.23656255e+04
53219.01180556,1.53366367,1.89997504,-0.95183246,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,7.71188952e+05,6.67248161e+04,5.98994848e+03,3.69993660e+03,3.15205285e+03,3.25660507e+03,5.42184091e+03,8.50392691e+03,1.30567786e+04
