# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_He+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         He+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.27709487e+06,6.20153315e+05,1.85820082e+05,4.77470083e+04,5.88056945e+04,5.86267197e+04,3.18129838e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.57998167e+06,1.25560484e+06,3.75413351e+05,9.78846876e+04,1.20312478e+05,1.19266556e+05,6.41035761e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.90929027e+06,1.90672822e+06,5.68871953e+05,1.50471441e+05,1.84586337e+05,1.81968684e+05,9.68834386e+04
53219.00277778,1.54874404,1.26011693,-1.00129850,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.26576935e+06,2.57396747e+06,7.66305415e+05,2.05576643e+05,2.51705654e+05,2.46791527e+05,1.30166437e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.65003832e+06,3.25769005e+06,9.67804353e+05,2.63257731e+05,3.21735322e+05,3.13783445e+05,1.63964040e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.06247345e+06,3.95811909e+06,1.17342381e+06,3.23549557e+05,3.94714722e+05,3.82973793e+05,1.98283217e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.51433122e+06,4.41186017e+06,1.29228623e+06,3.63254765e+05,4.37217720e+05,4.24310827e+05,2.20733046e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.10107434e+07,4.61401685e+06,1.32285365e+06,3.81318727e+05,4.47952687e+05,4.36825259e+05,2.31120529e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.25909235e+07,4.84235994e+06,1.36686924e+06,4.02603194e+05,4.63265864e+05,4.50087295e+05,2.40485368e+05
53219.00694444,1.55451077,1.56830628,-0.98654759,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.42487204e+07,5.09611185e+06,1.42432211e+06,4.27125729e+05,4.83195453e+05,4.64089883e+05,2.48854301e+05
53219.00763889,1.55319249,1.61750188,-0.98263373,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.59329247e+07,5.35534641e+06,1.48282730e+06,4.52203075e+05,5.03587816e+05,4.78352691e+05,2.57416249e+05
53219.00833333,1.55128673,1.66608598,-0.97834803,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.76437609e+07,5.62011021e+06,1.54239373e+06,4.77839949e+05,5.24446888e+05,4.92877930e+05,2.66172852e+05
53219.00902778,1.54881514,1.71406234,-0.97370527,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.93813923e+07,5.89043717e+06,1.60302791e+06,5.04039782e+05,5.45775529e+05,5.07667211e+05,2.75125306e+05
53219.00972222,1.54579812,1.76143505,-0.96871939,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.11458806e+07,6.16634009e+06,1.66473232e+06,5.30803872e+05,5.67574824e+05,5.22721142e+05,2.84274060e+05
53219.01041667,1.54225483,1.80820850,-0.96340360,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.29372748e+07,6.44782914e+06,1.72750889e+06,5.58133244e+05,5.89845628e+05,5.38040204e+05,2.93619472e+05
53219.01111111,1.53820426,1.85438693,-0.95777059,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.47558075e+07,6.73537237e+06,1.79136037e+06,5.85966320e+05,6.12610883e+05,5.53636845e+05,3.03158090e+05
53219.01180556,1.53366367,1.89997504,-0.95183246,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.66017029e+07,7.02946834e+06,1.85628866e+06,6.14236214e+05,6.35894830e+05,5.69524209e+05,3.12886000e+05
53219.01250000,1.52865033,1.94497724,-0.94560083,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.84751222e+07,7.33018747e+06,1.92229961e+06,6.42940474e+05,6.59701955e+05,5.85704777e+05,3.22803928e+05
