# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_He+_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         He+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.00000000,1.52982044,1.04214606,-1.00139189,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.10724689e+04,1.02098784e+04,3.06592199e+03,7.76091595e+02,9.57846136e+02,9.60530059e+02,5.26282397e+02
53219.00069444,1.53582559,1.09757628,-1.00219911,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.14973627e+04,1.04619000e+04,3.12808112e+03,8.15475444e+02,1.00234380e+03,9.93694049e+02,5.34150458e+02
53219.00138889,1.54095775,1.15238275,-1.00243596,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.19321940e+04,1.07198159e+04,3.19169403e+03,8.55780404e+02,1.04788217e+03,1.02763368e+03,5.42202538e+02
53219.00208333,1.54525254,1.20656344,-1.00212801,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.23780958e+04,1.09842982e+04,3.25692650e+03,8.97111507e+02,1.09457993e+03,1.06243740e+03,5.50459620e+02
53219.00277778,1.54874404,1.26011693,-1.00129850,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.28378695e+04,1.12570084e+04,3.32418831e+03,9.39728402e+02,1.14273043e+03,1.09832384e+03,5.58973576e+02
53219.00347222,1.55146409,1.31304307,-0.99997002,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.33044329e+04,1.15337459e+04,3.39244343e+03,9.82974650e+02,1.19159201e+03,1.13474024e+03,5.67613263e+02
53219.00416667,1.55344362,1.36534232,-0.99816377,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.37767339e+04,1.18138866e+04,3.46153793e+03,1.02675272e+03,1.24105446e+03,1.17160448e+03,5.76359198e+02
53219.00486111,1.55471104,1.41701626,-0.99589999,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.46185284e+04,3.31081730e+03,5.00542861e+02,2.96754305e+02,1.75712218e+02,2.06296757e+02,1.71968478e+02
53219.00555556,1.55529429,1.46806646,-0.99319736,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.52618747e+04,3.42773794e+03,5.18371165e+02,3.05377695e+02,1.82119980e+02,2.10850956e+02,1.74280929e+02
53219.00625000,1.55521927,1.51849557,-0.99007424,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.74107973e+04,4.18369897e+03,9.48815088e+02,4.04104608e+02,3.28319308e+02,2.31216935e+02,1.37880407e+02
53219.00694444,1.55451077,1.56830628,-0.98654759,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,-1.00000000e+00,2.78491017e+04,4.27469865e+03,9.66280985e+02,4.13313253e+02,3.36000343e+02,2.35536009e+02,1.41084030e+02
