# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_Ions_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,4.20460505e+06,1.68192501e+06,1.52516745e+06,9.24527440e+05,5.39550533e+05,1.56573603e+05,5.86656316e+04,5.18098727e+04,4.25164703e+04,5.32614949e+04,5.61711795e+04,9.71011055e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,8.50240946e+06,3.40145654e+06,3.08997354e+06,1.87839063e+06,1.09842652e+06,3.17402236e+05,1.18581244e+05,1.04892141e+05,8.61768305e+04,1.08076316e+05,1.14248069e+05,1.98204079e+05
53219.00208333,1.54525254,1.20656344,-1.00212801,1.28956894e+07,5.15951305e+06,4.69538643e+06,2.86230614e+06,1.67710003e+06,4.82589828e+05,1.79777364e+05,1.59277881e+05,1.31009020e+05,1.64482404e+05,1.74277220e+05,3.03406681e+05
53219.00277778,1.54874404,1.26011693,-1.00129850,1.73871500e+07,6.95718611e+06,6.34255660e+06,3.87712535e+06,2.27613191e+06,6.52259876e+05,2.42290275e+05,2.15004025e+05,1.77046238e+05,2.22524842e+05,2.36313937e+05,4.12825044e+05
53219.00347222,1.55146409,1.31304307,-0.99997002,2.19790298e+07,8.79537893e+06,8.03243614e+06,4.92355297e+06,2.89598641e+06,8.26514585e+05,3.06149997e+05,2.72101134e+05,2.24315962e+05,2.82240942e+05,3.00404003e+05,5.26555311e+05
53219.00416667,1.55344362,1.36534232,-0.99816377,2.66726883e+07,1.06746401e+07,9.76560319e+06,6.00201678e+06,3.53694533e+06,1.00541601e+06,3.71374764e+05,3.30587766e+05,2.72834875e+05,3.43653356e+05,3.66575204e+05,6.44655829e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,3.20141878e+07,1.29513208e+07,1.17468453e+07,6.98610760e+06,4.02794143e+06,1.15635656e+06,4.38866899e+05,3.91752424e+05,3.21636384e+05,4.04875827e+05,4.39795993e+05,7.87224731e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,3.80162063e+07,1.56377286e+07,1.39833374e+07,7.87068726e+06,4.36232696e+06,1.27823574e+06,5.08725012e+05,4.55729596e+05,3.70821841e+05,4.66093003e+05,5.20680607e+05,9.56146421e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,4.77091591e+07,2.04868979e+07,1.76645578e+07,9.41408880e+06,4.88156886e+06,1.48053711e+06,6.29621215e+05,5.73095646e+05,4.81532845e+05,6.16950880e+05,7.43728609e+05,1.32349302e+06
