# Legacy Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_Ions_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         Ions
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/keV)
53219.00000000,1.52982044,1.04214606,-1.00139189,6.93090759e+04,2.77223218e+04,2.50929568e+04,1.51671538e+04,8.83332610e+03,2.57451166e+03,9.67464547e+02,8.53017254e+02,6.99185697e+02,8.74896932e+02,9.20489093e+02,1.58538854e+03
53219.00069444,1.53582559,1.09757628,-1.00219911,7.08444342e+04,2.83418486e+04,2.57459611e+04,1.56504294e+04,9.15169275e+03,2.64460875e+03,9.88056621e+02,8.73978605e+02,7.18030064e+02,9.00486337e+02,9.51883669e+02,1.65131517e+03
53219.00138889,1.54095775,1.15238275,-1.00243596,7.24157016e+04,2.89758649e+04,2.64142380e+04,1.61450079e+04,9.47750536e+03,2.71634528e+03,1.00913030e+03,8.95430201e+02,7.37315164e+02,9.26674229e+02,9.84012503e+02,1.71878370e+03
53219.00208333,1.54525254,1.20656344,-1.00212801,7.40269725e+04,2.96260229e+04,2.70995288e+04,1.66521781e+04,9.81161299e+03,2.78990818e+03,1.03074051e+03,9.17427942e+02,7.57091252e+02,9.53528850e+02,1.01695932e+03,1.78796993e+03
53219.00277778,1.54874404,1.26011693,-1.00129850,7.56883694e+04,3.02964071e+04,2.78061387e+04,1.71751261e+04,1.01561146e+04,2.86575958e+03,1.05302300e+03,9.40110024e+02,7.77482566e+02,9.81218906e+02,1.05093110e+03,1.85930853e+03
53219.00347222,1.55146409,1.31304307,-0.99997002,7.73743013e+04,3.09766913e+04,2.85231836e+04,1.77057969e+04,1.05057036e+04,2.94273114e+03,1.07563455e+03,9.63127068e+02,7.98175012e+02,1.00931788e+03,1.08540456e+03,1.93170062e+03
53219.00416667,1.55344362,1.36534232,-0.99816377,7.90809661e+04,3.16653413e+04,2.92490464e+04,1.82429936e+04,1.08595918e+04,3.02064927e+03,1.09852417e+03,9.86427167e+02,8.19121925e+02,1.03776241e+03,1.12030196e+03,2.00498297e+03
53219.00486111,1.55471104,1.41701626,-0.99589999,9.89690301e+04,4.42240199e+04,3.67923620e+04,1.45600361e+04,5.50694608e+03,2.01070278e+03,1.15121381e+03,1.05239490e+03,8.07595173e+02,1.00298680e+03,1.32039118e+03,2.74731408e+03
53219.00555556,1.55529429,1.46806646,-0.99319736,1.01098238e+05,4.53229021e+04,3.77573671e+04,1.49259499e+04,5.63923729e+03,2.05193606e+03,1.17738977e+03,1.08017734e+03,8.31919908e+02,1.03758556e+03,1.37576241e+03,2.88340845e+03
53219.00625000,1.55521927,1.51849557,-0.99007424,2.22000211e+05,1.16316083e+05,8.49499892e+04,3.65207720e+04,1.16688272e+04,4.69144334e+03,2.85248392e+03,2.83202460e+03,2.85844717e+03,3.99101068e+03,6.05917150e+03,9.36147893e+03
53219.00694444,1.55451077,1.56830628,-0.98654759,2.27656614e+05,1.19611568e+05,8.74771966e+04,3.75641730e+04,1.19457670e+04,4.80881895e+03,2.92686961e+03,2.91527110e+03,2.94547125e+03,4.14289632e+03,6.31372751e+03,9.75773868e+03
53219.00763889,1.55319249,1.61750188,-0.98263373,2.33359907e+05,1.22934371e+05,9.00253535e+04,3.86162234e+04,1.22250025e+04,4.92716756e+03,3.00187192e+03,2.99920768e+03,3.03321672e+03,4.29604101e+03,6.57039367e+03,1.01572832e+04
53219.00833333,1.55128673,1.66608598,-0.97834803,2.39112998e+05,1.26286188e+05,9.25957595e+04,3.96774597e+04,1.25066761e+04,5.04654953e+03,3.07752911e+03,3.08387715e+03,3.12172834e+03,4.45052289e+03,6.82930092e+03,1.05603164e+04
53219.00902778,1.54881514,1.71406234,-0.97370527,2.44886405e+05,1.29649840e+05,9.51752425e+04,4.07424436e+04,1.27893444e+04,5.16635307e+03,3.15345347e+03,3.16884561e+03,3.21055252e+03,4.60555029e+03,7.08912244e+03,1.09647728e+04
