# Irene Model output file: ../../unitTests/Legacy/CammiceAll_PaOmni.CAMMICE.output_mean_O+_fluence.txt
# Irene Software Version:  1.58.001
#
# Model type:               CAMMICE/MICS
# Particle species:         O+
# Flux type:                Differential
# Flux direction:           Omnidirectional
# Environment settings:     IGRF; All Activity Levels
# Energy levels (keV):       1-1.3 1.8-2.4 3.2-4.2 5.6-7.4 9.9-13.2 17.5-23.3 30.9-41.1 54.7-72.8 80.3-89.7 100.1-111.7 124.7-139.1 155.3-193.4
#
# Accumulation mode:        Cumulative
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence,fluence(#/cm^2)
53219.00000000,1.52982044,1.04214606,-1.00139189,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
53219.00069444,1.53582559,1.09757628,-1.00219911,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.01142456e+06,2.22131707e+05,1.43555366e+05,4.00216205e+04,1.46291135e+04,1.85742272e+04
53219.00138889,1.54095775,1.15238275,-1.00243596,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.03864056e+06,4.49763367e+05,2.89951897e+05,8.22009347e+04,2.96335928e+04,3.78211666e+04
53219.00208333,1.54525254,1.20656344,-1.00212801,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.08203358e+06,6.83029310e+05,4.39258977e+05,1.26590655e+05,4.50226062e+04,5.77572511e+04
53219.00277778,1.54874404,1.26011693,-1.00129850,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.14206209e+06,9.22089170e+05,5.91559079e+05,1.73253394e+05,6.08070482e+04,7.84020034e+04
53219.00347222,1.55146409,1.31304307,-0.99997002,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.21910526e+06,1.16707505e+06,7.46920436e+05,2.22240993e+05,7.69959350e+04,9.97715840e+04
53219.00416667,1.55344362,1.36534232,-0.99816377,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.31339353e+06,1.41806717e+06,9.05384496e+05,2.73584907e+05,9.35947412e+04,1.21875802e+05
53219.00486111,1.55471104,1.41701626,-0.99589999,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.91937126e+06,1.57504577e+06,9.97036266e+05,3.02942888e+05,1.02582988e+05,1.36983364e+05
53219.00555556,1.55529429,1.46806646,-0.99319736,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.03235273e+06,1.63595709e+06,1.02072365e+06,3.09281896e+05,1.03786262e+05,1.44805893e+05
53219.00625000,1.55521927,1.51849557,-0.99007424,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.30712008e+06,1.73504080e+06,1.06846601e+06,3.31515041e+05,1.08543576e+05,1.54316693e+05
53219.00694444,1.55451077,1.56830628,-0.98654759,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.74577923e+06,1.87313603e+06,1.14060822e+06,3.69895770e+05,1.16888200e+05,1.65528235e+05
53219.00763889,1.55319249,1.61750188,-0.98263373,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.19667929e+06,2.01485978e+06,1.21426386e+06,4.09091357e+05,1.25363494e+05,1.76927856e+05
53219.00833333,1.55128673,1.66608598,-0.97834803,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.65992432e+06,2.16024289e+06,1.28944577e+06,4.49108728e+05,1.33970568e+05,1.88517152e+05
53219.00902778,1.54881514,1.71406234,-0.97370527,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.13558999e+06,2.30930778e+06,1.36616334e+06,4.89952924e+05,1.42710230e+05,2.00297289e+05
53219.00972222,1.54579812,1.76143505,-0.96871939,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.62370498e+06,2.46206297e+06,1.44442009e+06,5.31625849e+05,1.51582787e+05,2.12268705e+05
53219.01041667,1.54225483,1.80820850,-0.96340360,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.01242919e+07,2.61851515e+06,1.52421883e+06,5.74129012e+05,1.60588479e+05,2.24431749e+05
53219.01111111,1.53820426,1.85438693,-0.95777059,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.06359611e+07,2.77947582e+06,1.60537569e+06,6.17562051e+05,1.69734374e+05,2.36797011e+05
53219.01180556,1.53366367,1.89997504,-0.95183246,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.11572036e+07,2.94581528e+06,1.68769113e+06,6.62031459e+05,1.79027952e+05,2.49375710e+05
53219.01250000,1.52865033,1.94497724,-0.94560083,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.16879626e+07,3.11762422e+06,1.77115706e+06,7.07550340e+05,1.88470530e+05,2.62169778e+05
53219.01319444,1.52318025,1.98939854,-0.93908636,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22282075e+07,3.29488505e+06,1.85576979e+06,7.54115319e+05,1.98061631e+05,2.75178524e+05
53219.01388889,1.51726880,2.03324350,-0.93229988,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.27778573e+07,3.47755123e+06,1.94151954e+06,8.01717469e+05,2.07799986e+05,2.88400116e+05
53219.01458333,1.51093106,2.07651714,-0.92525113,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.33369057e+07,3.66561907e+06,2.02840551e+06,8.50356078e+05,2.17685494e+05,3.01834408e+05
53219.01527778,1.50418085,2.11922432,-0.91794984,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.39053443e+07,3.85908381e+06,2.11642672e+06,9.00030236e+05,2.27718028e+05,3.15481212e+05
53219.01597222,1.49703211,2.16136976,-0.91040510,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.44831628e+07,4.05793954e+06,2.20558191e+06,9.50738808e+05,2.37897423e+05,3.29340296e+05
53219.01666667,1.48949758,2.20295831,-0.90262557,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.50703496e+07,4.26217958e+06,2.29586969e+06,1.00248051e+06,2.48223500e+05,3.43411398e+05
53219.01736111,1.48158981,2.24399485,-0.89462001,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.56668915e+07,4.47179632e+06,2.38728845e+06,1.05525389e+06,2.58696050e+05,3.57694216e+05
53219.01805556,1.47332072,2.28448440,-0.88639597,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.62727745e+07,4.68678166e+06,2.47983649e+06,1.10905738e+06,2.69314854e+05,3.72188433e+05
53219.01875000,1.46470178,2.32443150,-0.87796145,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.68879832e+07,4.90712687e+06,2.57351197e+06,1.16388932e+06,2.80079673e+05,3.86893703e+05
53219.01944444,1.45574413,2.36384103,-0.86932383,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.75125018e+07,5.13282281e+06,2.66831297e+06,1.21974794e+06,2.90990257e+05,4.01809668e+05
53219.02013889,1.44645844,2.40271786,-0.86049017,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.81463138e+07,5.36385997e+06,2.76423749e+06,1.27663143e+06,3.02046350e+05,4.16935955e+05
53219.02083333,1.43685460,2.44106636,-0.85146738,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.87894017e+07,5.60022837e+06,2.86128343e+06,1.33453786e+06,3.13247677e+05,4.32272167e+05
53219.02152778,1.42694265,2.47889157,-0.84226174,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.94417481e+07,5.84191792e+06,2.95944867e+06,1.39346531e+06,3.24593965e+05,4.47817909e+05
53219.02222222,1.41673201,2.51619773,-0.83287968,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.01033348e+07,6.08891818e+06,3.05873101e+06,1.45341177e+06,3.36084928e+05,4.63572771e+05
53219.02291667,1.40623164,2.55298955,-0.82332732,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.07741436e+07,6.34121871e+06,3.15912826e+06,1.51437524e+06,3.47720284e+05,4.79536339e+05
53219.02361111,1.39545046,2.58927141,-0.81361047,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.14541556e+07,6.59880873e+06,3.26063814e+06,1.57635364e+06,3.59499737e+05,4.95708191e+05
53219.02430556,1.38439666,2.62504771,-0.80373478,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.21433524e+07,6.86167751e+06,3.36325841e+06,1.63934493e+06,3.71422996e+05,5.12087904e+05
53219.02500000,1.37307870,2.66032286,-0.79370542,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.28420012e+07,7.12889976e+06,3.46701890e+06,1.70346389e+06,3.83512454e+05,5.28663546e+05
